dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
TBI,TBI_000001,TBI_000001,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,4,6,q1_revision_surrogate,1.0,1.0954904520185664,0,,2.0,10.0,0.08583946670631692,3.0,0.15460531685185352,1.0,0.2532445449609989,nan,3.0,0.10954904520185664
TBI,TBI_000007,TBI_000007,0,trainval,val,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,5,q1_revision_surrogate,1.0,1.0847213279921561,0,,5.0,10.0,0.0,3.0,0.20125049942060286,1.0,0.18811245941376836,nan,2.0,0.10847213279921561
TBI,TBI_000009,TBI_000009,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,2,5,q1_revision_surrogate,1.0,1.1162764930631965,0,,3.0,10.0,0.25488231014951446,5.0,0.5079915682449704,0.0,0.16756672752266585,nan,1.0,0.11162764930631966
TBI,TBI_000014,TBI_000014,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,9,5,q1_revision_surrogate,1.0,1.0930489749880508,0,,4.0,10.0,0.0,3.0,1.181682992361728,2.0,0.3836694265565083,nan,1.0,0.10930489749880508
TBI,TBI_000015,TBI_000015,0,trainval,val,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,5,q1_revision_surrogate,1.0,1.0167514870408922,0,,5.0,10.0,0.0,3.0,0.03155330717319868,1.0,0.1357817937709798,nan,2.0,0.10167514870408922
TBI,TBI_000017,TBI_000017,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,2,5,q1_revision_surrogate,1.0,1.1233290390809998,0,,3.0,10.0,0.14203755326647816,5.0,0.23998805402951454,1.0,0.2739100953392416,nan,3.0,0.11233290390809998
TBI,TBI_000019,TBI_000019,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,1,5,q1_revision_surrogate,1.0,1.0570978629402816,0,,4.0,10.0,0.1688259583396522,6.0,0.3311259061787444,0.0,0.15634612864288308,nan,1.0,0.10570978629402816
TBI,TBI_000020,TBI_000020,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,4,5,q1_revision_surrogate,1.0,1.1059878959786147,0,,1.0,10.0,0.12203930967155363,5.0,0.18467604317194639,1.0,0.5536264744518592,nan,2.0,0.11059878959786147
TBI,TBI_000026,TBI_000026,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,8,5,q1_revision_surrogate,1.0,1.0319549379637465,0,,3.0,10.0,0.17895506929838167,3.0,0.320245592897037,1.0,0.589437498890481,nan,1.0,0.10319549379637465
TBI,TBI_000027,TBI_000027,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,5,q1_revision_surrogate,1.0,1.1149583290098235,0,,5.0,10.0,0.0,6.0,0.29059054523364525,1.0,0.27460045403360434,nan,1.0,0.11149583290098235
