dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,5,1,q1_revision_surrogate,1.0,0.8380040939664468,0,,4.0,7.0,0.32053880961731385,2.0,0.9998936745070918,2.0,0.04435905688361956,nan,1.0,0.09311156599627186
PBS,PBS_000010,PBS_000010,0,trainval,val,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,2,7,q1_revision_surrogate,1.0,0.9438601079164073,0,,5.0,5.0,0.31963049889962836,3.0,0.5351851062496223,1.0,0.14944457215131815,nan,1.0,0.10487334532404526
PBS,PBS_000011,PBS_000011,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,8,2,q1_revision_surrogate,1.0,0.9005404830677435,0,,6.0,9.0,0.0,1.0,0.29814907316922373,2.0,0.18515545553629345,nan,1.0,0.10006005367419372
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,4,2,q1_revision_surrogate,1.0,1.605059718945995,0,,2.0,15.0,0.01593633422070484,5.0,0.041818495025602594,1.0,0.08001416054282208,nan,5.0,0.10700398126306633
PBS,PBS_000034,PBS_000034,0,trainval,val,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,10,8,q1_revision_surrogate,1.0,1.4307429899927229,0,,2.0,13.0,0.10598520456709393,5.0,0.4805515582638686,2.0,0.017563827265695543,nan,2.0,0.09538286599951486
PBS,PBS_000037,PBS_000037,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,9,9,q1_revision_surrogate,1.0,1.55747086298652,0,,0.0,14.0,0.13750590977049537,2.0,0.28782459850166336,3.0,0.2220323393926259,nan,3.0,0.103831390865768
PBS,PBS_000068,PBS_000068,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,6,7,q1_revision_surrogate,1.0,1.4854455669410527,0,,1.0,15.0,0.022047038713892908,7.0,0.07303046572598493,1.0,0.07757279812556256,nan,5.0,0.09902970446273685
PBS,PBS_000071,PBS_000071,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,14,11,q1_revision_surrogate,1.0,1.450146557064727,0,,3.0,15.0,0.0,4.0,0.2432013106607689,2.0,0.11885498501901666,nan,2.0,0.09667643713764847
PBS,PBS_000073,PBS_000073,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,14,10,q1_revision_surrogate,1.0,1.5154684360604733,0,,4.0,15.0,0.0,4.0,0.4444638721796726,2.0,0.16594406669299955,nan,1.0,0.10103122907069823
PBS,PBS_000075,PBS_000075,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,6,8,q1_revision_surrogate,1.0,1.445537474937737,0,,2.0,13.0,0.12109204384959182,3.0,0.5932771215905033,3.0,0.013495379825044423,nan,2.0,0.09636916499584913
