dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::0bb61e677928bce9,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,7,1,q1_revision_surrogate,1.0,1.020874252077192,0,,6.0,5.0,0.5531595584539731,2.0,1.4431753092418627,2.0,0.18962961285343144,nan,2.0,0.11343047245302135
PBS,PBS_000010,PBS_000010,0,trainval,val,gp::0bb61e677928bce9,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,2,7,q1_revision_surrogate,1.0,1.0083127230172977,0,,5.0,6.0,0.7698108355202126,3.0,2.273884640993596,1.0,0.18884836138647984,nan,1.0,0.11203474700192197
PBS,PBS_000011,PBS_000011,0,trainval,train,gp::0bb61e677928bce9,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,1,2,q1_revision_surrogate,1.0,1.0740991019411013,0,,1.0,8.0,1.0475835125177055,3.0,2.5345658679505383,0.0,0.2732661403789146,nan,1.0,0.11934434466012236
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::0bb61e677928bce9,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,3,2,q1_revision_surrogate,1.0,1.757488787989132,0,,1.0,14.0,0.050901105949183956,5.0,0.11581772829457762,2.0,0.08568115909465104,nan,3.0,0.11716591919927548
PBS,PBS_000034,PBS_000034,0,trainval,val,gp::0bb61e677928bce9,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,6,8,q1_revision_surrogate,1.0,1.772180863074027,0,,2.0,12.0,0.0479338423291753,13.0,0.13579266603696014,0.0,0.07723373317289481,nan,3.0,0.1181453908716018
PBS,PBS_000037,PBS_000037,0,trainval,train,gp::0bb61e677928bce9,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,0,9,q1_revision_surrogate,1.0,1.7177508139284328,0,,9.0,14.0,0.0,1.0,7.177070004896014,2.0,0.1654163207329071,nan,1.0,0.11451672092856219
PBS,PBS_000068,PBS_000068,0,trainval,train,gp::0bb61e677928bce9,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,6,7,q1_revision_surrogate,1.0,1.6530928439460695,0,,1.0,11.0,0.14528969214893817,8.0,0.489611695772356,1.0,0.038689292523115974,nan,1.0,0.11020618959640463
PBS,PBS_000071,PBS_000071,0,trainval,train,gp::0bb61e677928bce9,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,7,11,q1_revision_surrogate,1.0,1.7075181290274486,0,,4.0,13.0,0.8047977617710709,10.0,2.264846339270607,1.0,0.18004925558356621,nan,1.0,0.11383454193516324
PBS,PBS_000073,PBS_000073,0,trainval,train,gp::0bb61e677928bce9,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,0,10,q1_revision_surrogate,1.0,1.8025305269984528,0,,10.0,11.0,0.0,2.0,3.7469813133899446,1.0,0.10769985144721438,nan,1.0,0.12016870179989686
PBS,PBS_000075,PBS_000075,0,trainval,train,gp::0bb61e677928bce9,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,6,8,q1_revision_surrogate,1.0,1.7962031969800591,0,,2.0,11.0,0.2026256827411056,11.0,0.6686642524475456,1.0,0.04588487904685379,nan,1.0,0.11974687979867062
