dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,3,q1_revision_surrogate,1.0,0.4211911929305643,0,,3.0,14.0,0.0,1.0,2.153541394083267,1.0,0.1611269254826526,nan,1.0,0.03008508520932602
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,1,q1_revision_surrogate,1.0,0.4043354419991374,0,,1.0,14.0,0.0,1.0,0.9215450137588673,1.0,0.1689048880582956,nan,1.0,0.028881102999938384
BMA,BMA_000016,BMA_000016,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,13,1,q1_revision_surrogate,1.0,0.32530271203722805,0,,12.0,14.0,0.0,7.0,3.345153952206418,2.0,0.19198322644320484,nan,1.0,0.023235908002659147
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,6,10,q1_revision_surrogate,1.0,0.3152564710471779,0,,4.0,14.0,0.20692999288743252,11.0,0.5284255558186893,0.0,0.05991136855224439,nan,3.0,0.02251831936051271
BMA,BMA_000020,BMA_000020,0,trainval,val,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,6,9,q1_revision_surrogate,1.0,0.35514949599746615,0,,3.0,12.0,0.12797089757320812,12.0,0.26429068732068667,0.0,0.16127169238895434,nan,2.0,0.025367821142676154
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,6,9,q1_revision_surrogate,1.0,0.3864286550087854,0,,3.0,13.0,0.1837307013172902,12.0,0.40997846628346013,0.0,0.12313861061845698,nan,3.0,0.027602046786341816
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,6,8,q1_revision_surrogate,1.0,0.3188072140328586,0,,2.0,11.0,0.05151227694996918,12.0,0.13102122916755046,0.0,0.08277624951402963,nan,3.0,0.022771943859489902
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.3139028849545866,0,,8.0,12.0,0.0,1.0,5.217490620545985,1.0,0.09772073128949454,nan,1.0,0.02242163463961333
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.3213095429819077,0,,8.0,12.0,0.0,1.0,5.794518290165851,1.0,0.1602538373320425,nan,1.0,0.022950681641564837
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,6,8,q1_revision_surrogate,1.0,0.4059274409664795,0,,2.0,10.0,0.04477137200354764,13.0,0.14046957385331005,0.0,0.007276958754126657,nan,3.0,0.028994817211891392
