dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000001,BMA_000001,0,trainval,train,gp::5efdaf73d05506c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,3,7,q1_revision_surrogate,1.0,4.271619553095661,0,,4.0,12.0,0.03974160822584871,4.0,0.1383679629408383,1.0,0.08506684747377195,nan,3.0,0.3051156823639758
BMA,BMA_000005,BMA_000005,0,trainval,train,gp::5efdaf73d05506c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,11,1,q1_revision_surrogate,1.0,4.2998477559303865,0,,10.0,13.0,0.2701534843619844,5.0,0.7323599328656242,2.0,0.06486715041675019,nan,1.0,0.3071319825664562
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::5efdaf73d05506c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,12,3,q1_revision_surrogate,1.0,4.381579945096746,0,,9.0,13.0,0.27302740409034354,4.0,0.7295328852457885,1.0,0.05967753377798415,nan,1.0,0.31296999607833903
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::5efdaf73d05506c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,5,9,q1_revision_surrogate,1.0,4.338554460089654,0,,4.0,14.0,0.08708612413800665,5.0,0.19452474567745032,1.0,0.16049220008503232,nan,2.0,0.30989674714926096
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::5efdaf73d05506c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,9,8,q1_revision_surrogate,1.0,4.4181863340782,0,,1.0,12.0,0.03782530477954349,8.0,0.10074895012410996,1.0,0.0868382763298318,nan,7.0,0.31558473814844284
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::5efdaf73d05506c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,9,8,q1_revision_surrogate,1.0,4.511182909016497,0,,1.0,13.0,0.013755747305965627,7.0,0.028706863892016595,1.0,0.1971762832092094,nan,8.0,0.3222273506440355
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::5efdaf73d05506c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,4,8,q1_revision_surrogate,1.0,4.507071661995724,0,,4.0,13.0,0.04169390852912558,5.0,0.09207125851346926,1.0,0.17482185361908653,nan,3.0,0.3219336901425517
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::5efdaf73d05506c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,2,5,q1_revision_surrogate,1.0,4.26758681004867,0,,3.0,14.0,0.010119286061562649,5.0,0.027160502555005142,1.0,0.09021094395485994,nan,8.0,0.30482762928919066
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::5efdaf73d05506c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,12,3,q1_revision_surrogate,1.0,4.3826763950055465,0,,9.0,14.0,0.02688294855984541,5.0,0.07258639184594745,1.0,0.056793950976373984,nan,3.0,0.3130483139289676
BMA,BMA_000037,BMA_000037,0,trainval,train,gp::5efdaf73d05506c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,12,3,q1_revision_surrogate,1.0,4.2639979789964855,0,,9.0,14.0,0.051515859518168394,5.0,0.14331971235623256,1.0,0.05205975829030601,nan,3.0,0.3045712842140347
