dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000000,PBS_000000,0,trainval,train,gp::1645e3283be2d2c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,3,4,q1_revision_surrogate,1.0,6.915247714030556,0,,1.0,5.0,0.5732362432856731,4.0,1.2566515363462496,1.0,0.18393835441025944,nan,1.0,0.7683608571145063
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::1645e3283be2d2c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,7,1,q1_revision_surrogate,1.0,5.227621486992575,0,,6.0,2.0,0.8056637333609634,5.0,3.6549205791445356,0.0,0.11413905866858667,nan,1.0,0.580846831888064
PBS,PBS_000020,PBS_000020,0,trainval,train,gp::1645e3283be2d2c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,4,3,q1_revision_surrogate,1.0,10.94264564907644,0,,1.0,14.0,0.24161635939693082,5.0,0.48865690009551965,3.0,0.16130694407559176,nan,3.0,0.7295097099384293
PBS,PBS_000021,PBS_000021,0,trainval,train,gp::1645e3283be2d2c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,5,1,q1_revision_surrogate,1.0,4.212216353975236,0,,4.0,9.0,1.1839029974612036,4.0,2.276726877954462,1.0,0.6114300709822899,nan,1.0,0.46802403933058184
PBS,PBS_000022,PBS_000022,0,trainval,train,gp::1645e3283be2d2c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,3,6,q1_revision_surrogate,1.0,6.86759672104381,0,,3.0,4.0,0.8098658095490977,5.0,2.568428967137418,1.0,0.1482038438384121,nan,1.0,0.7630663023382012
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::1645e3283be2d2c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,5,2,q1_revision_surrogate,1.0,9.778993219020776,0,,3.0,8.0,0.26250665765079173,6.0,0.5234969190447514,2.0,0.17584842654050037,nan,2.0,0.6519328812680517
PBS,PBS_000038,PBS_000038,0,trainval,train,gp::1645e3283be2d2c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,6,3,q1_revision_surrogate,1.0,11.205712261958979,0,,3.0,10.0,0.19520084369463664,7.0,0.35026515570259553,2.0,0.26010713735151025,nan,2.0,0.7470474841305986
PBS,PBS_000049,PBS_000049,0,trainval,train,gp::1645e3283be2d2c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,4,1,q1_revision_surrogate,1.0,9.799134150031023,0,,3.0,10.0,1.0737865606440793,3.0,2.396034708496377,4.0,0.30831949004249903,nan,1.0,0.6532756100020681
PBS,PBS_000063,PBS_000063,0,trainval,train,gp::1645e3283be2d2c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,0,3,q1_revision_surrogate,1.0,13.24295347800944,0,,3.0,9.0,0.0,1.0,2.538936746520986,4.0,0.11411699303562835,nan,1.0,0.8828635652006294
PBS,PBS_000076,PBS_000076,0,trainval,val,gp::1645e3283be2d2c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,7,8,q1_revision_surrogate,1.0,11.684795930050313,0,,1.0,14.0,0.11628491087731907,5.0,0.11761873351721146,3.0,1.0263312034546952,nan,2.0,0.7789863953366876
