dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::e1e3584cb948764a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,3,1,q1_revision_surrogate,1.0,0.25453261099755764,0,,2.0,7.0,0.0421521503152108,8.0,0.11780303918451251,0.0,0.02404911207300625,nan,4.0,0.028281401221950848
PBS,PBS_000010,PBS_000010,0,trainval,val,gp::e1e3584cb948764a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,8,7,q1_revision_surrogate,1.0,0.2719453040044755,0,,1.0,6.0,0.0,8.0,0.3020990027589164,0.0,0.002748878479987006,nan,2.0,0.030216144889386162
PBS,PBS_000011,PBS_000011,0,trainval,train,gp::e1e3584cb948764a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,8,2,q1_revision_surrogate,1.0,0.2606042129918933,0,,6.0,9.0,0.0,6.0,0.2949963609428479,0.0,0.04455423999841684,nan,1.0,0.028956023665765922
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::e1e3584cb948764a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,2,q1_revision_surrogate,1.0,0.5308954570209607,0,,4.0,14.0,0.801861668348243,9.0,3.042937065260117,0.0,0.0953535897118226,nan,3.0,0.03539303046806405
PBS,PBS_000034,PBS_000034,0,trainval,val,gp::e1e3584cb948764a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.4341395079391077,0,,8.0,12.0,0.0,1.0,6.144547482496006,1.0,0.08697227253628857,nan,1.0,0.028942633862607182
PBS,PBS_000037,PBS_000037,0,trainval,train,gp::e1e3584cb948764a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,9,q1_revision_surrogate,1.0,0.46038126293569803,0,,9.0,13.0,0.0,1.0,7.0285420296047985,1.0,0.12195741971226547,nan,1.0,0.0306920841957132
PBS,PBS_000068,PBS_000068,0,trainval,train,gp::e1e3584cb948764a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,7,q1_revision_surrogate,1.0,0.5718214510707185,0,,1.0,11.0,0.17742580900343297,12.0,0.5189400299038829,0.0,0.04274082130135238,nan,1.0,0.03812143007138123
PBS,PBS_000071,PBS_000071,0,trainval,train,gp::e1e3584cb948764a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,11,q1_revision_surrogate,1.0,0.5068636090727523,0,,11.0,14.0,0.0,3.0,4.96445514677094,1.0,0.05533162733200585,nan,1.0,0.03379090727151682
PBS,PBS_000073,PBS_000073,0,trainval,train,gp::e1e3584cb948764a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,10,q1_revision_surrogate,1.0,0.43856689403764904,0,,10.0,13.0,0.0,2.0,6.3612835683437705,1.0,0.07134398570563713,nan,1.0,0.02923779293584327
PBS,PBS_000075,PBS_000075,0,trainval,train,gp::e1e3584cb948764a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.49285312299616635,0,,8.0,12.0,0.0,1.0,4.961283410119643,1.0,0.037909007562807955,nan,1.0,0.03285687486641109
