dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::9c6c1618f33e0890,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,13,1,q1_revision_surrogate,1.0,9.962489853962325,0,,12.0,14.0,0.0,7.0,0.015275221853956,2.0,0.10644323638623639,nan,2.0,0.711606418140166
BMA,BMA_000014,BMA_000014,0,trainval,train,gp::9c6c1618f33e0890,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,6,5,q1_revision_surrogate,1.0,10.051384928985499,0,,1.0,14.0,0.370898241406281,6.0,1.0774181851920557,2.0,0.09198619136048902,nan,2.0,0.7179560663561071
BMA,BMA_000017,BMA_000017,0,trainval,train,gp::9c6c1618f33e0890,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,4,9,q1_revision_surrogate,1.0,10.001954498002306,0,,5.0,13.0,0.13168705451211316,4.0,0.2725130281146404,1.0,0.27089966456595455,nan,1.0,0.714425321285879
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::9c6c1618f33e0890,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,0,8,q1_revision_surrogate,1.0,9.960362212965265,0,,8.0,13.0,0.0,1.0,5.134889138034337,2.0,0.1916221663174341,nan,1.0,0.7114544437832332
BMA,BMA_000027,BMA_000027,0,trainval,train,gp::9c6c1618f33e0890,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,4,8,q1_revision_surrogate,1.0,9.866607932955958,0,,4.0,13.0,0.11480943954068912,5.0,0.2881984464749691,1.0,0.1285134468357962,nan,2.0,0.7047577094968541
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::9c6c1618f33e0890,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,8,8,q1_revision_surrogate,1.0,10.14245247701183,0,,0.0,12.0,0.026286654763149064,6.0,0.09306693761194738,2.0,0.03667502426044659,nan,8.0,0.7244608912151307
BMA,BMA_000030,BMA_000030,0,trainval,train,gp::9c6c1618f33e0890,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,8,8,q1_revision_surrogate,1.0,10.292564634000883,0,,0.0,13.0,0.012894676815147554,8.0,0.03501133816696798,1.0,0.0880337256465533,nan,6.0,0.7351831881429202
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::9c6c1618f33e0890,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,5,8,q1_revision_surrogate,1.0,10.435791349038482,0,,3.0,13.0,0.06131711879245416,7.0,0.13849728248680265,1.0,0.16698098732642883,nan,3.0,0.745413667788463
BMA,BMA_000032,BMA_000032,0,trainval,val,gp::9c6c1618f33e0890,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,13,3,q1_revision_surrogate,1.0,10.526575161959045,0,,10.0,14.0,0.0,5.0,0.014560822922011229,2.0,0.08041742559737806,nan,2.0,0.7518982258542175
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::9c6c1618f33e0890,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,12,3,q1_revision_surrogate,1.0,10.121274836012162,0,,9.0,14.0,0.08731267664887332,2.0,0.23471361070977165,2.0,0.07254348291892615,nan,2.0,0.7229482025722973
