dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,1,q1_revision_surrogate,1.0,0.7290734660346061,0,,1.0,14.0,0.0,1.0,0.9719562376821429,1.0,0.16916523076581205,nan,1.0,0.05207667614532901
BMA,BMA_000014,BMA_000014,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,5,q1_revision_surrogate,1.0,0.6267512339400128,0,,5.0,14.0,0.0,1.0,0.9920434121755485,1.0,0.04244485054947122,nan,1.0,0.04476794528142948
BMA,BMA_000017,BMA_000017,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,9,q1_revision_surrogate,1.0,0.534798469976522,0,,3.0,13.0,0.13211320223868783,12.0,0.28198291341292997,0.0,0.14685304374093724,nan,3.0,0.038199890712608715
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.7399769639596343,0,,8.0,12.0,0.0,1.0,5.789194182741098,1.0,0.16335119113957408,nan,1.0,0.05285549742568817
BMA,BMA_000027,BMA_000027,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.5428285480011255,0,,8.0,12.0,0.0,1.0,5.920299283159222,1.0,0.13232739791613127,nan,1.0,0.03877346771436611
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,8,q1_revision_surrogate,1.0,0.5309375950600952,0,,2.0,12.0,0.06288401127915311,12.0,0.16129169304795427,0.0,0.07402411392597173,nan,3.0,0.03792411393286394
BMA,BMA_000030,BMA_000030,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.7790696970187128,0,,8.0,12.0,0.0,1.0,5.3024925712265665,1.0,0.11286221377378264,nan,1.0,0.055647835501336625
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.6240984499454498,0,,8.0,12.0,0.0,1.0,5.8102571078653495,1.0,0.15420733310732104,nan,1.0,0.044578460710389275
BMA,BMA_000032,BMA_000032,0,trainval,val,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,5,3,q1_revision_surrogate,1.0,0.5476754400879145,0,,2.0,14.0,0.7257749992330729,8.0,3.1008187815464545,0.0,0.08246565053048595,nan,3.0,0.03911967429199389
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,5,3,q1_revision_surrogate,1.0,0.5494522650260478,0,,2.0,14.0,0.8095637567638054,7.0,3.6407773809033834,0.0,0.09938999658022496,nan,3.0,0.039246590359003415
TBF,TBF_000005,TBF_000005,0,trainval,val,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,5,6,q1_revision_surrogate,1.0,0.7995938119711354,0,,1.0,14.0,0.11248917154773752,6.0,0.34712009250456793,1.0,0.03299111598343594,nan,4.0,0.05711384371222396
