dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000001,BMA_000001,0,trainval,train,gp::2c9805a3b293675e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,7,q1_revision_surrogate,1.0,0.7027851240709424,0,,7.0,11.0,0.0,1.0,2.976547649437684,1.0,0.06371182377673584,nan,1.0,0.05019893743363874
BMA,BMA_000005,BMA_000005,0,trainval,train,gp::2c9805a3b293675e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,5,1,q1_revision_surrogate,1.0,0.8105977610684931,0,,4.0,14.0,1.0247343344590096,5.0,5.246722423092746,0.0,0.17842805334660908,nan,2.0,0.05789984007632094
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::2c9805a3b293675e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,3,q1_revision_surrogate,1.0,0.6818921590456739,0,,3.0,14.0,0.0,1.0,1.8193831927591715,1.0,0.15478027644145917,nan,1.0,0.04870658278897671
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::2c9805a3b293675e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,9,q1_revision_surrogate,1.0,0.7835068579297513,0,,3.0,13.0,0.15825557029788961,12.0,0.36419136176176153,0.0,0.12026313710079596,nan,3.0,0.05596477556641081
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::2c9805a3b293675e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.7042290270328522,0,,8.0,12.0,0.0,1.0,4.984390605327452,1.0,0.10733136064304971,nan,1.0,0.05030207335948944
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::2c9805a3b293675e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,8,q1_revision_surrogate,1.0,0.7023827349767089,0,,2.0,13.0,0.07038358454910387,12.0,0.13862004006358478,0.0,0.17727406863115439,nan,3.0,0.05017019535547921
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::2c9805a3b293675e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.817828731960617,0,,8.0,13.0,0.0,1.0,5.801461832993933,1.0,0.17218639939503455,nan,1.0,0.05841633799718693
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::2c9805a3b293675e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,5,5,q1_revision_surrogate,1.0,0.7540081349434331,0,,0.0,14.0,0.1592774200230822,9.0,0.46781667820106193,0.0,0.05810466937583352,nan,3.0,0.053857723924530934
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::2c9805a3b293675e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,5,3,q1_revision_surrogate,1.0,0.6734467470087111,0,,2.0,14.0,0.7051258944813903,7.0,2.8992485628192757,0.0,0.07802753250724224,nan,3.0,0.04810333907205079
BMA,BMA_000037,BMA_000037,0,trainval,train,gp::2c9805a3b293675e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,5,3,q1_revision_surrogate,1.0,0.801984922029078,0,,2.0,14.0,0.5530973169201625,7.0,2.1307043203490443,0.0,0.058311952842929,nan,3.0,0.05728463728779128
