dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000011,BMA_000011,0,trainval,train,gp::946fb36e6e8d51cc,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,0,4,q1_revision_surrogate,1.0,1.390474515967071,0,,4.0,14.0,0.0,1.0,0.4496535694540808,1.0,0.08890011281341033,nan,1.0,0.09931960828336221
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::946fb36e6e8d51cc,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,6,10,q1_revision_surrogate,1.0,1.2834198439959437,0,,4.0,14.0,0.22660245487993513,11.0,0.5885771355115764,0.0,0.055784005217981,nan,3.0,0.09167284599971026
BMA,BMA_000022,BMA_000022,0,trainval,train,gp::946fb36e6e8d51cc,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,6,9,q1_revision_surrogate,1.0,1.3023246100638062,0,,3.0,13.0,0.17967703525457168,12.0,0.40998034701337366,0.0,0.11590501969939034,nan,3.0,0.09302318643312901
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::946fb36e6e8d51cc,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.29671425500419,0,,8.0,12.0,0.0,1.0,5.167511037384403,1.0,0.11244977332725757,nan,1.0,0.09262244678601357
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::946fb36e6e8d51cc,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.2884643749566749,0,,8.0,13.0,0.0,1.0,5.529293720657823,1.0,0.15264639115097572,nan,1.0,0.09203316963976249
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::946fb36e6e8d51cc,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,6,8,q1_revision_surrogate,1.0,1.342573805944994,0,,2.0,10.0,0.04078349782128743,13.0,0.1278502781329173,0.0,0.006909212354381547,nan,3.0,0.095898128996071
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::946fb36e6e8d51cc,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,6,8,q1_revision_surrogate,1.0,1.2724348730407655,0,,2.0,12.0,0.07286314139567196,12.0,0.1904049187567226,0.0,0.07217032691490662,nan,3.0,0.09088820521719754
BMA,BMA_000033,BMA_000033,0,trainval,train,gp::946fb36e6e8d51cc,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,0,3,q1_revision_surrogate,1.0,1.293370618019253,0,,3.0,14.0,0.0,1.0,0.9199949082049023,1.0,0.0704132940028741,nan,1.0,0.09238361557280379
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::946fb36e6e8d51cc,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,5,5,q1_revision_surrogate,1.0,1.3634017199510708,0,,0.0,14.0,0.22864737343452612,9.0,0.6815812127190132,0.0,0.056303149539310184,nan,2.0,0.0973858371393622
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::946fb36e6e8d51cc,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,5,3,q1_revision_surrogate,1.0,1.4068662270437926,0,,2.0,14.0,0.776802784149921,7.0,3.379000252032326,0.0,0.09416607615940979,nan,3.0,0.10049044478884232
