dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
WBC,WBC_004336,WBC_004336,0,trainval,train,gp::e95aff2caa474fb7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,8,6,q1_revision_surrogate,1.0,0.01912325492594391,0,,2.0,10.0,0.027417870987857973,8.0,0.05790267020631921,0.0,0.1353555314042461,nan,3.0,0.0019123254925943912
WBC,WBC_004689,WBC_004689,0,trainval,train,gp::e95aff2caa474fb7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,8,6,q1_revision_surrogate,1.0,0.022409865050576627,0,,2.0,10.0,0.48288732162625525,4.0,0.9812748456960128,1.0,0.09102388184308036,nan,1.0,0.0022409865050576627
WBC,WBC_008853,WBC_008853,0,trainval,train,gp::e95aff2caa474fb7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,8,5,q1_revision_surrogate,1.0,0.020041959010995924,0,,3.0,7.0,0.18120111311418852,2.0,0.5355505386276567,1.0,0.04914508870100026,nan,1.0,0.0020041959010995924
WBC,WBC_010810,WBC_010810,0,trainval,train,gp::e95aff2caa474fb7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,9,6,q1_revision_surrogate,1.0,0.021404516068287194,0,,3.0,6.0,0.0,6.0,0.2822773113514483,0.0,0.1209182151305741,nan,2.0,0.0021404516068287195
WBC,WBC_011919,WBC_011919,0,trainval,train,gp::e95aff2caa474fb7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,9,5,q1_revision_surrogate,1.0,0.01860653201583773,0,,4.0,6.0,0.0,6.0,0.1991582408925066,1.0,0.030362652299183814,nan,2.0,0.001860653201583773
WBC,WBC_016626,WBC_016626,0,trainval,val,gp::e95aff2caa474fb7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,1,5,q1_revision_surrogate,1.0,0.020450472948141396,0,,4.0,4.0,0.5638642729486378,2.0,1.9611918744556582,1.0,0.11861985842949396,nan,2.0,0.0020450472948141396
WBC,WBC_021307,WBC_021307,0,trainval,train,gp::e95aff2caa474fb7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,8,5,q1_revision_surrogate,1.0,0.020271725952625275,0,,3.0,5.0,0.15068994705190508,8.0,0.48559634426472714,0.0,0.03553934682981973,nan,2.0,0.0020271725952625275
WBC,WBC_022038,WBC_022038,0,trainval,train,gp::e95aff2caa474fb7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,9,6,q1_revision_surrogate,1.0,0.020191689021885395,0,,3.0,9.0,0.0,5.0,0.03597936419855835,2.0,0.21068637015882546,nan,2.0,0.0020191689021885396
WBC,WBC_025178,WBC_025178,0,trainval,train,gp::e95aff2caa474fb7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,9,5,q1_revision_surrogate,1.0,0.020853908034041524,0,,4.0,5.0,0.0,2.0,1.0713371717279843,2.0,0.25040911418966905,nan,1.0,0.0020853908034041526
WBC,WBC_025586,WBC_025586,0,trainval,train,gp::e95aff2caa474fb7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,7,5,q1_revision_surrogate,1.0,0.02378468099050224,0,,2.0,8.0,0.5466148907614041,3.0,0.8350931881332924,1.0,0.36484242240417697,nan,1.0,0.0023784680990502237
