dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
TBI,TBI_000001,TBI_000001,0,trainval,train,gp::42bbeb0c0eaba685,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,6,q1_revision_surrogate,1.0,4.292757228016853,0,,0.0,2.0,1.103454342702051,5.0,4.173861739368752,1.0,0.2695679514726945,nan,1.0,0.42927572280168536
TBI,TBI_000007,TBI_000007,0,trainval,val,gp::42bbeb0c0eaba685,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,4.109452986973338,0,,1.0,1.0,1.351200553535413,5.0,6.4414805516063,1.0,0.2923190395439946,nan,1.0,0.41094529869733376
TBI,TBI_000009,TBI_000009,0,trainval,train,gp::42bbeb0c0eaba685,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,4.1437804700108245,0,,1.0,3.0,1.107442563784884,4.0,3.7793607857297578,1.0,0.3096534059605808,nan,1.0,0.41437804700108244
TBI,TBI_000014,TBI_000014,0,trainval,train,gp::42bbeb0c0eaba685,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,4.206977386958897,0,,1.0,5.0,1.1010735970191265,4.0,1.9128927742117976,1.0,0.45821112148904325,nan,1.0,0.4206977386958897
TBI,TBI_000015,TBI_000015,0,trainval,val,gp::42bbeb0c0eaba685,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,4.237673560041003,0,,1.0,2.0,0.7018149341328825,9.0,2.379115073758616,0.0,0.10688411728360127,nan,1.0,0.4237673560041003
TBI,TBI_000017,TBI_000017,0,trainval,train,gp::42bbeb0c0eaba685,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,5,5,q1_revision_surrogate,1.0,4.235948422108777,0,,0.0,2.0,1.1140234744977786,4.0,4.049777161772828,2.0,0.29776659411402834,nan,1.0,0.4235948422108777
TBI,TBI_000019,TBI_000019,0,trainval,train,gp::42bbeb0c0eaba685,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,4.30687944102101,0,,1.0,2.0,0.9908506734463834,4.0,3.188261145801784,2.0,0.21989095110855103,nan,1.0,0.43068794410210104
TBI,TBI_000020,TBI_000020,0,trainval,train,gp::42bbeb0c0eaba685,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,4.225051195942797,0,,1.0,1.0,1.7064615252992634,3.0,9.349296340421867,1.0,0.5671181880375069,nan,1.0,0.42250511959427967
TBI,TBI_000026,TBI_000026,0,trainval,train,gp::42bbeb0c0eaba685,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,4.257421244052239,0,,1.0,5.0,1.0891854893908282,4.0,2.246252102961397,1.0,0.3836455256811477,nan,1.0,0.42574212440522385
TBI,TBI_000027,TBI_000027,0,trainval,train,gp::42bbeb0c0eaba685,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,4.0865044590318576,0,,1.0,2.0,0.80644245388434,5.0,1.7721190339197563,1.0,0.28568534624912134,nan,1.0,0.4086504459031858
