dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,7,1,q1_revision_surrogate,1.0,0.421818237984553,0,,6.0,2.0,0.9538154824638158,2.0,3.626437500487694,2.0,0.2340269523714806,nan,1.0,0.046868693109394774
PBS,PBS_000010,PBS_000010,0,trainval,val,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,4,7,q1_revision_surrogate,1.0,0.40520925202872604,0,,3.0,5.0,1.0889249054565098,3.0,1.857749501822593,2.0,0.48931775605058936,nan,1.0,0.04502325022541401
PBS,PBS_000011,PBS_000011,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,4,2,q1_revision_surrogate,1.0,0.3955240370705724,0,,2.0,7.0,0.6596812406023371,6.0,0.9910203661978503,0.0,0.40940553752100894,nan,1.0,0.043947115230063595
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,4,2,q1_revision_surrogate,1.0,0.7794209809508175,0,,2.0,14.0,0.06515568118548964,5.0,0.16785798001684793,2.0,0.08569491410119519,nan,4.0,0.051961398730054495
PBS,PBS_000034,PBS_000034,0,trainval,val,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,1,8,q1_revision_surrogate,1.0,0.6616381460335106,0,,7.0,14.0,1.1193866296516823,5.0,3.815776017373544,2.0,0.16607040041721766,nan,1.0,0.044109209735567374
PBS,PBS_000037,PBS_000037,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,9,9,q1_revision_surrogate,1.0,0.6879734820686281,0,,0.0,13.0,0.5662921095424852,6.0,1.6121198475850194,1.0,0.10418348946495465,nan,1.0,0.045864898804575206
PBS,PBS_000068,PBS_000068,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,0,7,q1_revision_surrogate,1.0,0.7833974449895322,0,,7.0,12.0,0.0,2.0,3.4939328347101184,1.0,0.06140231385890723,nan,1.0,0.05222649633263548
PBS,PBS_000071,PBS_000071,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,0,11,q1_revision_surrogate,1.0,0.7257800219813362,0,,11.0,10.0,0.0,1.0,6.199263372850778,4.0,0.2529003332946992,nan,1.0,0.048385334798755744
PBS,PBS_000073,PBS_000073,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,7,10,q1_revision_surrogate,1.0,0.6353027409641072,0,,3.0,13.0,1.0973658701137738,4.0,3.572246062107652,3.0,0.21185135375363423,nan,1.0,0.042353516064273816
PBS,PBS_000075,PBS_000075,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.7397082059178501,0,,8.0,12.0,0.0,1.0,3.692370035044672,4.0,0.11514829155214987,nan,1.0,0.04931388039452334
