dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000001,BMA_000001,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,7,q1_revision_surrogate,1.0,0.3419706689892337,0,,7.0,11.0,0.0,1.0,3.0499956852099332,1.0,0.05713804413313601,nan,1.0,0.024426476356373832
BMA,BMA_000005,BMA_000005,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,5,1,q1_revision_surrogate,1.0,0.34895742998924106,0,,4.0,14.0,1.0385716877134508,5.0,5.332582070892266,0.0,0.18123160348236036,nan,2.0,0.02492553071351722
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,3,q1_revision_surrogate,1.0,0.35446102696005255,0,,3.0,14.0,0.0,1.0,2.153541394083267,1.0,0.1611269254826526,nan,1.0,0.025318644782860895
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,6,9,q1_revision_surrogate,1.0,0.3623758490430191,0,,3.0,13.0,0.1837307013172902,12.0,0.40997846628346013,0.0,0.12313861061845698,nan,3.0,0.02588398921735851
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.4943509279983118,0,,8.0,12.0,0.0,1.0,5.217490620545985,1.0,0.09772073128949454,nan,1.0,0.03531078057130799
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.4296351879602298,0,,8.0,12.0,0.0,1.0,5.794518290165851,1.0,0.1602538373320425,nan,1.0,0.030688227711444988
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.35337485698983073,0,,8.0,12.0,0.0,1.0,5.78452656644768,1.0,0.14688486900857764,nan,1.0,0.02524106121355934
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,5,5,q1_revision_surrogate,1.0,0.3512934590689838,0,,0.0,14.0,0.24279305568331833,9.0,0.7347398078986208,0.0,0.04480691324143221,nan,2.0,0.025092389933498844
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,5,3,q1_revision_surrogate,1.0,0.34671722899656743,0,,2.0,14.0,0.8267771968200218,7.0,3.769372068166702,0.0,0.10363207412583963,nan,3.0,0.024765516356897672
BMA,BMA_000037,BMA_000037,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,5,3,q1_revision_surrogate,1.0,0.4433669070713222,0,,2.0,14.0,0.6969195891340455,7.0,2.968129877282466,0.0,0.07500853533241536,nan,3.0,0.03166906479080873
