dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000000,PBS_000000,0,trainval,train,gp::4739324f283a4549,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,2,4,q1_revision_surrogate,1.0,7.347287556971423,0,,2.0,6.0,0.7972357896851165,3.0,1.7982842093107412,1.0,0.2557998587373863,nan,1.0,0.816365284107936
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::4739324f283a4549,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,8,1,q1_revision_surrogate,1.0,3.823236947064288,0,,7.0,8.0,0.0,2.0,0.28207274130547455,2.0,0.20118710564609216,nan,1.0,0.42480410522936535
PBS,PBS_000020,PBS_000020,0,trainval,train,gp::4739324f283a4549,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,6,3,q1_revision_surrogate,1.0,8.2616941339802,0,,3.0,14.0,0.6868734744024871,9.0,2.16945443265876,0.0,0.08812362762489198,nan,3.0,0.5507796089320133
PBS,PBS_000021,PBS_000021,0,trainval,train,gp::4739324f283a4549,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,1,1,q1_revision_surrogate,1.0,5.7422059120144695,0,,0.0,8.0,0.9306757686379881,3.0,1.6421427926904733,2.0,0.3606379616167729,nan,1.0,0.6380228791127188
PBS,PBS_000022,PBS_000022,0,trainval,train,gp::4739324f283a4549,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,3,6,q1_revision_surrogate,1.0,7.317235274007544,0,,3.0,1.0,1.3381620483304983,4.0,3.283027062615435,1.0,0.37848958539138466,nan,1.0,0.8130261415563937
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::4739324f283a4549,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,6,2,q1_revision_surrogate,1.0,10.3713567169616,0,,4.0,5.0,0.8168100867045401,10.0,3.5026243450314505,1.0,0.08662936645328566,nan,1.0,0.6914237811307733
PBS,PBS_000038,PBS_000038,0,trainval,train,gp::4739324f283a4549,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,6,3,q1_revision_surrogate,1.0,9.147646701079793,0,,3.0,6.0,0.7627473808470095,9.0,2.9400487690272445,0.0,0.08564226236609288,nan,2.0,0.6098431134053196
PBS,PBS_000049,PBS_000049,0,trainval,train,gp::4739324f283a4549,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,6,1,q1_revision_surrogate,1.0,7.353258972987533,0,,5.0,4.0,1.1047065981749324,7.0,5.304697365706598,1.0,0.1860772514071295,nan,1.0,0.4902172648658355
PBS,PBS_000063,PBS_000063,0,trainval,train,gp::4739324f283a4549,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,6,3,q1_revision_surrogate,1.0,25.922020121011883,0,,3.0,5.0,0.7121072141050323,8.0,2.9351539735511856,1.0,0.09976607149147507,nan,2.0,1.7281346747341255
PBS,PBS_000076,PBS_000076,0,trainval,val,gp::4739324f283a4549,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,8,8,q1_revision_surrogate,1.0,9.0328378980048,0,,0.0,15.0,0.727343215069821,4.0,1.3534532269988633,2.0,0.2042339316384713,nan,1.0,0.60218919320032
