dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000004,BMA_000004,0,trainval,val,gp::229021293c4dbf40,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,3,7,q1_revision_surrogate,1.0,5.073840851895511,0,,4.0,12.0,0.0439820420800584,3.0,0.1660269413616624,2.0,0.07711773437070503,nan,8.0,0.36241720370682223
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::229021293c4dbf40,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,12,3,q1_revision_surrogate,1.0,4.754407386062667,0,,9.0,13.0,0.06394415734524406,5.0,0.12455692327670487,2.0,0.14990015637257934,nan,2.0,0.33960052757590475
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::229021293c4dbf40,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,12,1,q1_revision_surrogate,1.0,5.13274138502311,0,,11.0,14.0,0.16829795325862218,7.0,0.4296716562217516,2.0,0.09290995877817575,nan,2.0,0.3666243846445078
BMA,BMA_000014,BMA_000014,0,trainval,train,gp::229021293c4dbf40,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,7,5,q1_revision_surrogate,1.0,5.023317947983742,0,,2.0,14.0,0.07188328866416238,5.0,0.1629350266326438,2.0,0.14427622232073176,nan,2.0,0.3588084248559816
BMA,BMA_000017,BMA_000017,0,trainval,train,gp::229021293c4dbf40,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,4,9,q1_revision_surrogate,1.0,4.816918454947881,0,,5.0,13.0,0.07183346750400599,5.0,0.14483701626374798,2.0,0.31350167543482527,nan,2.0,0.3440656039248487
BMA,BMA_000018,BMA_000018,0,trainval,val,gp::229021293c4dbf40,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,5,10,q1_revision_surrogate,1.0,4.9988808470079675,0,,5.0,14.0,0.19000282533359547,4.0,0.4861473914779763,1.0,0.14284309104280202,nan,1.0,0.35706291764342624
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::229021293c4dbf40,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,8,q1_revision_surrogate,1.0,4.9264701650245115,0,,2.0,11.0,0.08068063984727003,3.0,0.29976864206742637,3.0,0.06910474158407826,nan,6.0,0.3518907260731794
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::229021293c4dbf40,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,4,8,q1_revision_surrogate,1.0,5.034536972991191,0,,4.0,13.0,0.06982522056115692,5.0,0.16350288730561977,2.0,0.19123602185718036,nan,3.0,0.35960978378508507
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::229021293c4dbf40,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,13,5,q1_revision_surrogate,1.0,5.021816850057803,0,,8.0,14.0,0.0,3.0,0.08123085195894693,3.0,0.13687983932938425,nan,2.0,0.35870120357555735
BMA,BMA_000037,BMA_000037,0,trainval,train,gp::229021293c4dbf40,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,1,3,q1_revision_surrogate,1.0,4.924124208977446,0,,2.0,14.0,0.03666680700829594,3.0,0.0984137289864898,2.0,0.07885452552643128,nan,6.0,0.3517231577841033
