dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000001,BMA_000001,0,trainval,train,gp::0f9779bbc2560513,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,7,q1_revision_surrogate,1.0,2.5314525980502367,0,,7.0,11.0,0.0,1.0,3.063846837746881,1.0,0.058517157398189856,nan,1.0,0.18081804271787405
BMA,BMA_000005,BMA_000005,0,trainval,train,gp::0f9779bbc2560513,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,5,1,q1_revision_surrogate,1.0,2.5009359610266984,0,,4.0,14.0,1.044883639328471,5.0,5.2984961330358304,0.0,0.18343140076312178,nan,2.0,0.17863828293047845
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::0f9779bbc2560513,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,3,q1_revision_surrogate,1.0,2.5240160499233752,0,,3.0,14.0,0.0,1.0,2.3476655479831066,1.0,0.16408750192073535,nan,1.0,0.18028686070881253
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::0f9779bbc2560513,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,6,9,q1_revision_surrogate,1.0,2.4599031190155074,0,,3.0,13.0,0.1788204101543619,12.0,0.40065412419842045,0.0,0.12139502919444715,nan,3.0,0.1757073656439648
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::0f9779bbc2560513,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,2.445016137091443,0,,8.0,12.0,0.0,1.0,5.259637351504243,1.0,0.1042669787268697,nan,1.0,0.17464400979224592
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::0f9779bbc2560513,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,2.4172961419681087,0,,8.0,12.0,0.0,1.0,5.7964369095089205,1.0,0.16321406690193083,nan,1.0,0.1726640101405792
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::0f9779bbc2560513,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,2.4913164309691638,0,,8.0,12.0,0.0,1.0,5.823726731091599,1.0,0.15613146296199834,nan,1.0,0.17795117364065455
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::0f9779bbc2560513,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,5,5,q1_revision_surrogate,1.0,2.6695132860913873,0,,0.0,14.0,0.21973233578886664,9.0,0.6600936674675781,0.0,0.04548638015510306,nan,3.0,0.1906795204350991
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::0f9779bbc2560513,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,5,3,q1_revision_surrogate,1.0,2.7991500799544156,0,,2.0,14.0,0.8067474541802823,7.0,3.623494686244096,0.0,0.09853239243363858,nan,3.0,0.19993929142531539
BMA,BMA_000037,BMA_000037,0,trainval,train,gp::0f9779bbc2560513,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,5,3,q1_revision_surrogate,1.0,2.6061405079672113,0,,2.0,14.0,0.6680130360430163,7.0,2.774765782939557,0.0,0.07011449233315685,nan,3.0,0.18615289342622937
