dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::d9a00388a57b0641,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,1,q1_revision_surrogate,1.0,3.4783776220865548,0,,1.0,14.0,0.0,1.0,1.0253721274182976,1.0,0.17034192406522167,nan,1.0,0.2484555444347539
BMA,BMA_000014,BMA_000014,0,trainval,train,gp::d9a00388a57b0641,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,5,q1_revision_surrogate,1.0,3.2113330509746447,0,,5.0,14.0,0.0,1.0,0.9455354039805,1.0,0.041569396459234485,nan,1.0,0.22938093221247463
BMA,BMA_000017,BMA_000017,0,trainval,train,gp::d9a00388a57b0641,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,9,q1_revision_surrogate,1.0,3.1781342920148745,0,,3.0,13.0,0.12577790001960787,12.0,0.2674589622320366,0.0,0.14897113920284225,nan,3.0,0.22700959228677675
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::d9a00388a57b0641,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,3.0716027290327474,0,,8.0,12.0,0.0,1.0,5.783227465280712,1.0,0.1627341476207181,nan,1.0,0.21940019493091054
BMA,BMA_000027,BMA_000027,0,trainval,train,gp::d9a00388a57b0641,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,3.1837190489750355,0,,8.0,12.0,0.0,1.0,6.184566264298368,1.0,0.1735899103208928,nan,1.0,0.2274085034982168
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::d9a00388a57b0641,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,8,q1_revision_surrogate,1.0,3.1675486869644374,0,,2.0,12.0,0.05970419027205576,12.0,0.15352906178401718,0.0,0.07147072524917973,nan,4.0,0.22625347764031695
BMA,BMA_000030,BMA_000030,0,trainval,train,gp::d9a00388a57b0641,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,3.4769830260192975,0,,8.0,12.0,0.0,1.0,5.2849683723945855,1.0,0.11345506609986115,nan,1.0,0.24835593042994983
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::d9a00388a57b0641,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,3.1789485570043325,0,,8.0,12.0,0.0,1.0,5.791127563153785,1.0,0.15429611876621138,nan,1.0,0.22706775407173804
BMA,BMA_000032,BMA_000032,0,trainval,val,gp::d9a00388a57b0641,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,5,3,q1_revision_surrogate,1.0,3.314831444993615,0,,2.0,14.0,0.7203520385438018,8.0,3.0670595297144763,0.0,0.08142473418025152,nan,3.0,0.2367736746424011
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::d9a00388a57b0641,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,5,3,q1_revision_surrogate,1.0,3.22352208790835,0,,2.0,14.0,0.807172205377098,7.0,3.6250539155775523,0.0,0.09863684972596465,nan,3.0,0.23025157770773927
