dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,3,q1_revision_surrogate,1.0,0.4478681110776961,0,,3.0,14.0,0.0,1.0,2.309239782063009,1.0,0.16332085518919717,nan,1.0,0.031990579362692576
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,1,q1_revision_surrogate,1.0,0.4118655670899898,0,,1.0,14.0,0.0,1.0,1.0070774807331893,1.0,0.16916132153769436,nan,1.0,0.029418969077856412
BMA,BMA_000016,BMA_000016,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,13,1,q1_revision_surrogate,1.0,0.39121250493917614,0,,12.0,14.0,0.0,7.0,3.0254792519795903,2.0,0.18533937095351707,nan,1.0,0.027943750352798297
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,10,q1_revision_surrogate,1.0,0.4298471719957888,0,,4.0,14.0,0.20744554607935184,11.0,0.5329732321212701,0.0,0.05834347125561206,nan,3.0,0.03070336942827063
BMA,BMA_000020,BMA_000020,0,trainval,val,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,9,q1_revision_surrogate,1.0,0.35253399598877877,0,,3.0,12.0,0.12425978750097921,12.0,0.258165766471545,0.0,0.1627341266886567,nan,2.0,0.025180999713484198
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,9,q1_revision_surrogate,1.0,0.3589734680717811,0,,3.0,13.0,0.17923260664562624,12.0,0.4016716924009044,0.0,0.12199364571225065,nan,3.0,0.02564096200512722
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,8,q1_revision_surrogate,1.0,0.334489097003825,0,,2.0,11.0,0.05140059921621498,12.0,0.12926559630823303,0.0,0.08516120532612041,nan,3.0,0.023892078357416073
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.42937990406062454,0,,8.0,12.0,0.0,1.0,5.235439329290651,1.0,0.10237185511322555,nan,1.0,0.030669993147187467
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.345003514084965,0,,8.0,12.0,0.0,1.0,5.789712886854391,1.0,0.16326731161024485,nan,1.0,0.02464310814892607
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,8,q1_revision_surrogate,1.0,0.33801567601040006,0,,2.0,10.0,0.047488353184777954,13.0,0.1487085908085412,0.0,0.0070349407300777,nan,3.0,0.02414397685788572
PBS,PBS_000010,PBS_000010,0,trainval,val,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,8,7,q1_revision_surrogate,1.0,0.21737971203401685,0,,1.0,7.0,0.0,2.0,0.10376022316079182,1.0,0.0073330806954753445,nan,2.0,0.024153301337112982
PBS,PBS_000015,PBS_000015,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,3,1,q1_revision_surrogate,1.0,0.21397247107233852,0,,2.0,4.0,1.4107402628654486,3.0,5.845666220848965,1.0,0.5415336641351346,nan,1.0,0.023774719008037612
PBS,PBS_000018,PBS_000018,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,7,1,q1_revision_surrogate,1.0,0.21713957202155143,0,,6.0,6.0,0.04995453090816737,7.0,0.10618154628926305,0.0,0.08278543762816452,nan,3.0,0.024126619113505714
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,2,q1_revision_surrogate,1.0,0.4629346689907834,0,,4.0,14.0,0.8075745870236319,8.0,3.009776969619843,0.0,0.10023177263562086,nan,3.0,0.030862311266052225
PBS,PBS_000027,PBS_000027,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.37050966708920896,0,,8.0,13.0,0.0,1.0,6.38823182409173,1.0,0.10312097360781167,nan,1.0,0.02470064447261393
PBS,PBS_000061,PBS_000061,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,4,q1_revision_surrogate,1.0,0.4014981489162892,0,,2.0,7.0,0.5524389932625569,10.0,2.4349038503070033,0.0,0.04544850536755201,nan,2.0,0.02676654326108595
PBS,PBS_000062,PBS_000062,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,6,q1_revision_surrogate,1.0,0.370824474026449,0,,0.0,9.0,0.42387926115728214,11.0,1.6006383186931077,0.0,0.03229462026956578,nan,1.0,0.02472163160176327
PBS,PBS_000063,PBS_000063,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,5,3,q1_revision_surrogate,1.0,0.369398077018559,0,,2.0,15.0,0.1119345115097975,9.0,0.3253537361356692,0.0,0.06018318623235673,nan,2.0,0.02462653846790393
PBS,PBS_000065,PBS_000065,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,4,q1_revision_surrogate,1.0,0.41983573499601334,0,,2.0,15.0,0.44063976251569226,10.0,1.7343368373852706,0.0,0.04010571419664143,nan,2.0,0.02798904899973422
PBS,PBS_000066,PBS_000066,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,7,q1_revision_surrogate,1.0,0.3782930539455265,0,,1.0,9.0,0.4361752204378424,11.0,1.4276509197485794,0.0,0.0554621853003121,nan,1.0,0.025219536929701764
TBI,TBI_000001,TBI_000001,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,2,6,q1_revision_surrogate,1.0,0.26158607902470976,0,,4.0,10.0,0.03927303481261213,6.0,0.07266538550690115,0.0,0.25056609009207614,nan,5.0,0.026158607902470977
TBI,TBI_000004,TBI_000004,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,2,5,q1_revision_surrogate,1.0,0.26333968492690474,0,,3.0,10.0,0.05218180693866181,5.0,0.09345225222017933,0.0,0.19622311099494966,nan,4.0,0.026333968492690474
TBI,TBI_000007,TBI_000007,0,trainval,val,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,5,q1_revision_surrogate,1.0,0.2562554400647059,0,,5.0,10.0,0.0,6.0,0.10643162530429676,0.0,0.26984077907354714,nan,2.0,0.02562554400647059
TBI,TBI_000011,TBI_000011,0,trainval,val,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,2,5,q1_revision_surrogate,1.0,0.3042593339923769,0,,3.0,10.0,0.11435206250406238,5.0,0.2167766448945916,0.0,0.1497407188128246,nan,3.0,0.030425933399237694
TBI,TBI_000014,TBI_000014,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,1,5,q1_revision_surrogate,1.0,0.2515221870271489,0,,4.0,10.0,0.081652062267911,4.0,0.1161417155677157,1.0,0.4457519157279821,nan,3.0,0.02515221870271489
TBI,TBI_000016,TBI_000016,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,1,5,q1_revision_surrogate,1.0,0.2543075719149783,0,,4.0,10.0,0.06904214632471461,6.0,0.12820890716995484,0.0,0.3229667770614529,nan,3.0,0.025430757191497833
