dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::80d922b87ad87307,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,3,q1_revision_surrogate,1.0,1.4968394580064341,0,,3.0,13.0,0.8381111456317323,8.0,3.2329266486777146,1.0,0.19308564520456126,nan,5.0,0.10691710414331672
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::80d922b87ad87307,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,1,q1_revision_surrogate,1.0,1.5398836740059778,0,,5.0,13.0,0.8654071661546946,8.0,3.399935914999422,1.0,0.19040804815616974,nan,4.0,0.10999169100042698
BMA,BMA_000016,BMA_000016,0,trainval,train,gp::80d922b87ad87307,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,7,1,q1_revision_surrogate,1.0,1.4314292119815946,0,,6.0,13.0,0.00034424797879117897,5.0,0.0006833210004483299,2.0,0.27502620027135294,nan,7.0,0.10224494371297103
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::80d922b87ad87307,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,10,q1_revision_surrogate,1.0,1.4437397870933637,0,,4.0,13.0,0.43485985572499875,11.0,1.1572531218489046,0.0,0.06953387652116104,nan,2.0,0.10312427050666884
BMA,BMA_000020,BMA_000020,0,trainval,val,gp::80d922b87ad87307,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,9,q1_revision_surrogate,1.0,1.372839706018567,0,,3.0,10.0,0.5137141769202719,12.0,1.3763461261485472,0.0,0.08424234882660796,nan,1.0,0.09805997900132622
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::80d922b87ad87307,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,9,q1_revision_surrogate,1.0,1.451808380894363,0,,3.0,11.0,0.5050533874147214,12.0,1.2094583822564917,0.0,0.12679547793604437,nan,2.0,0.10370059863531164
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::80d922b87ad87307,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,8,q1_revision_surrogate,1.0,1.4303944070124999,0,,2.0,8.0,0.08369062362670276,12.0,0.2417467017636348,0.0,0.04167951275400459,nan,2.0,0.10217102907232142
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::80d922b87ad87307,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.4743461540201679,0,,8.0,8.0,0.0,1.0,5.60182990680465,1.0,0.07284542613130922,nan,1.0,0.10531043957286913
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::80d922b87ad87307,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.4479069239459932,0,,8.0,9.0,0.0,1.0,6.832855409421804,1.0,0.10223436509249871,nan,1.0,0.10342192313899952
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::80d922b87ad87307,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,5,8,q1_revision_surrogate,1.0,1.433542776037939,0,,3.0,8.0,0.17683333584278682,13.0,0.5851972339235294,0.0,0.005803638494259448,nan,2.0,0.10239591257413849
