dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::4739324f283a4549,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,9,1,q1_revision_surrogate,1.0,1.6043089540908113,0,,8.0,6.0,0.6678331434633484,5.0,2.0362289013265147,3.0,0.12224118447457828,nan,1.0,0.11459349672077224
BMA,BMA_000014,BMA_000014,0,trainval,train,gp::4739324f283a4549,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,10,5,q1_revision_surrogate,1.0,1.4455115079181269,0,,5.0,4.0,0.6855501601078942,10.0,2.272947654951221,1.0,0.07557291736561375,nan,1.0,0.10325082199415192
BMA,BMA_000017,BMA_000017,0,trainval,train,gp::4739324f283a4549,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,13,9,q1_revision_surrogate,1.0,1.384751408942975,0,,4.0,13.0,0.0,1.0,5.180411977616502,4.0,0.18188153581055633,nan,1.0,0.09891081492449823
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::4739324f283a4549,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,13,8,q1_revision_surrogate,1.0,1.5083851399831474,0,,5.0,13.0,0.0,5.0,0.752367650449702,3.0,0.1297696765954325,nan,1.0,0.10774179571308196
BMA,BMA_000027,BMA_000027,0,trainval,train,gp::4739324f283a4549,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,12,8,q1_revision_surrogate,1.0,1.4400265209842473,0,,4.0,13.0,0.41810249897811824,3.0,1.0556910648393343,4.0,0.15197512367143629,nan,1.0,0.10285903721316052
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::4739324f283a4549,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,12,8,q1_revision_surrogate,1.0,1.5101836470421404,0,,4.0,13.0,0.489687483521136,4.0,1.1619035957146397,2.0,0.1923834436747167,nan,1.0,0.10787026050301003
BMA,BMA_000030,BMA_000030,0,trainval,train,gp::4739324f283a4549,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,13,8,q1_revision_surrogate,1.0,1.5095170170534402,0,,5.0,13.0,0.0,3.0,0.6829688869960792,3.0,0.19519860939698816,nan,1.0,0.10782264407524574
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::4739324f283a4549,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,1,8,q1_revision_surrogate,1.0,1.5029664849862456,0,,7.0,13.0,1.51902648691773,3.0,4.272193352305677,3.0,0.2919206059652634,nan,1.0,0.10735474892758898
BMA,BMA_000032,BMA_000032,0,trainval,val,gp::4739324f283a4549,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,9,3,q1_revision_surrogate,1.0,1.47926549508702,0,,6.0,4.0,0.9480369466470999,2.0,2.4924110604312038,4.0,0.28350242831477473,nan,1.0,0.1056618210776443
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::4739324f283a4549,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,7,3,q1_revision_surrogate,1.0,1.4322412529727444,0,,4.0,14.0,0.6888266048192779,4.0,1.305525445964329,3.0,0.2924387296033794,nan,1.0,0.10230294664091032
