dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::e253cbeb1d182d1f,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,0,1,q1_revision_surrogate,1.0,0.924491313053295,0,,1.0,14.0,0.0,1.0,0.5748568280110328,1.0,0.17034888819026775,nan,1.0,0.06603509378952108
BMA,BMA_000014,BMA_000014,0,trainval,train,gp::e253cbeb1d182d1f,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,0,5,q1_revision_surrogate,1.0,0.759443222079426,0,,5.0,14.0,0.0,1.0,0.8428658521178446,1.0,0.04380972157531906,nan,1.0,0.05424594443424472
BMA,BMA_000017,BMA_000017,0,trainval,train,gp::e253cbeb1d182d1f,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,6,9,q1_revision_surrogate,1.0,0.6877215430140495,0,,3.0,13.0,0.1119886599094414,12.0,0.23779335594656073,0.0,0.15365620392795404,nan,3.0,0.0491229673581464
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::e253cbeb1d182d1f,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.8308788189897314,0,,8.0,12.0,0.0,1.0,5.672121194512016,1.0,0.16283530118157138,nan,1.0,0.0593484870706951
BMA,BMA_000027,BMA_000027,0,trainval,train,gp::e253cbeb1d182d1f,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.6777142839273438,0,,8.0,12.0,0.0,1.0,5.926892607367916,1.0,0.14335190239940696,nan,1.0,0.048408163137667416
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::e253cbeb1d182d1f,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,6,8,q1_revision_surrogate,1.0,0.6795225780224428,0,,2.0,12.0,0.05568217651025287,12.0,0.14405643805252685,0.0,0.07462835355580781,nan,4.0,0.048537327001603056
BMA,BMA_000030,BMA_000030,0,trainval,train,gp::e253cbeb1d182d1f,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.7965951970545575,0,,8.0,12.0,0.0,1.0,5.265761118983692,1.0,0.11373624016698046,nan,1.0,0.056899656932468394
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::e253cbeb1d182d1f,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.7605061180656776,0,,8.0,12.0,0.0,1.0,5.788124877989225,1.0,0.16567048081091226,nan,1.0,0.05432186557611983
BMA,BMA_000032,BMA_000032,0,trainval,val,gp::e253cbeb1d182d1f,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,5,3,q1_revision_surrogate,1.0,0.6735051349969581,0,,2.0,14.0,0.6676380716297843,8.0,2.7301913975085315,0.0,0.07433179985620043,nan,3.0,0.048107509642639865
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::e253cbeb1d182d1f,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,5,3,q1_revision_surrogate,1.0,0.8010490329470485,0,,2.0,14.0,0.8009715566567921,7.0,3.597512211062112,0.0,0.09880835579889706,nan,3.0,0.057217788067646325
