dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000000,PBS_000000,0,trainval,train,gp::2aa4263b606bcca9,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,4,4,q1_revision_surrogate,1.0,7.828200743999332,0,,0.0,5.0,0.23023417379343147,4.0,0.3418579367893846,2.0,0.2858051630298532,nan,1.0,0.8698000826665925
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::2aa4263b606bcca9,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,7,1,q1_revision_surrogate,1.0,6.022744088899344,0,,6.0,3.0,0.34694154119397447,6.0,1.2011472765515825,1.0,0.05158029211082788,nan,2.0,0.6691937876554827
PBS,PBS_000020,PBS_000020,0,trainval,train,gp::2aa4263b606bcca9,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,11,3,q1_revision_surrogate,1.0,11.8982462589629,0,,8.0,15.0,0.31482442404846467,5.0,0.7843403752062162,1.0,0.12620100395603567,nan,3.0,0.7932164172641933
PBS,PBS_000021,PBS_000021,0,trainval,train,gp::2aa4263b606bcca9,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,2,1,q1_revision_surrogate,1.0,5.307212945073843,0,,1.0,5.0,0.7386114895437168,4.0,1.3078836653536992,2.0,0.33420825925738135,nan,2.0,0.589690327230427
PBS,PBS_000022,PBS_000022,0,trainval,train,gp::2aa4263b606bcca9,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,3,6,q1_revision_surrogate,1.0,7.777717081014998,0,,3.0,3.0,0.22411410198199833,6.0,0.3865428442984537,1.0,0.29718995525907854,nan,1.0,0.8641907867794443
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::2aa4263b606bcca9,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,12,2,q1_revision_surrogate,1.0,11.173125378089026,0,,10.0,15.0,0.21227749945388985,6.0,0.5603936167279872,3.0,0.10947211000829302,nan,1.0,0.7448750252059351
PBS,PBS_000038,PBS_000038,0,trainval,train,gp::2aa4263b606bcca9,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,12,3,q1_revision_surrogate,1.0,12.35298284003511,0,,9.0,13.0,0.3888758709014115,3.0,0.9853304006079128,3.0,0.09071260827853517,nan,1.0,0.8235321893356741
PBS,PBS_000049,PBS_000049,0,trainval,train,gp::2aa4263b606bcca9,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,1,1,q1_revision_surrogate,1.0,11.959452799987048,0,,0.0,14.0,1.125435669019987,2.0,3.708646882557103,3.0,0.1472829618075171,nan,1.0,0.7972968533324699
PBS,PBS_000063,PBS_000063,0,trainval,train,gp::2aa4263b606bcca9,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,11,3,q1_revision_surrogate,1.0,16.995528051047586,0,,8.0,15.0,0.8952692070724756,3.0,1.829734556718151,3.0,0.25613220324611463,nan,1.0,1.1330352034031723
PBS,PBS_000076,PBS_000076,0,trainval,val,gp::2aa4263b606bcca9,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,12,8,q1_revision_surrogate,1.0,11.809279448003508,0,,4.0,13.0,1.1710121221759167,3.0,2.3752579008593377,4.0,0.3726817502516381,nan,1.0,0.7872852965335672
