dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
TBF,TBF_000023,TBF_000023,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,11,5,q1_revision_surrogate,1.0,1.9211021499941126,0,,6.0,4.0,0.742658103002731,9.0,3.4576111050846405,1.0,0.07254856657359456,nan,1.0,0.1372215821424366
TBF,TBF_000027,TBF_000027,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,6,6,q1_revision_surrogate,1.0,1.858143387013115,0,,0.0,14.0,0.8126157352755377,2.0,1.5449781164232805,4.0,0.4111821622475247,nan,1.0,0.13272452764379392
TBF,TBF_000029,TBF_000029,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,12,6,q1_revision_surrogate,1.0,1.8393714829580858,0,,6.0,2.0,0.957450737130296,5.0,6.124545082153673,2.0,0.09687071548826826,nan,1.0,0.131383677354149
TBF,TBF_000039,TBF_000039,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,12,6,q1_revision_surrogate,1.0,1.9065850110491738,0,,6.0,13.0,0.6670430627342621,5.0,1.8961605305427363,2.0,0.11835561777803587,nan,1.0,0.13618464364636956
TBF,TBF_000043,TBF_000043,0,trainval,val,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,11,5,q1_revision_surrogate,1.0,1.9375860230065882,0,,6.0,2.0,0.9004083398912106,5.0,4.346982681638414,1.0,0.11528802229095657,nan,1.0,0.13839900164332772
TBF,TBF_000056,TBF_000056,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,11,6,q1_revision_surrogate,1.0,2.002989767002873,0,,5.0,2.0,1.0342429380946274,4.0,4.390222720426807,1.0,0.11878373406234345,nan,1.0,0.14307069764306238
TBF,TBF_000074,TBF_000074,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,13,6,q1_revision_surrogate,1.0,2.0602243880275637,0,,7.0,13.0,0.0,3.0,1.0847530417019746,2.0,0.08747959308262816,nan,1.0,0.1471588848591117
TBF,TBF_000119,TBF_000119,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,11,5,q1_revision_surrogate,1.0,1.9162509520538151,0,,6.0,2.0,1.175400654355903,3.0,3.758282954483041,4.0,0.2824016107037058,nan,1.0,0.13687506800384394
TBF,TBF_000153,TBF_000153,0,trainval,val,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,10,5,q1_revision_surrogate,1.0,1.9660009780200198,0,,5.0,3.0,0.6868931117819238,4.0,2.4527830483231363,2.0,0.09268331896572786,nan,1.0,0.14042864128714427
TBF,TBF_000175,TBF_000175,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,10,4,q1_revision_surrogate,1.0,1.9029601369984448,0,,6.0,14.0,0.8601477645169459,4.0,3.100084018509326,1.0,0.14273766990114134,nan,1.0,0.13592572407131748
