dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::62447e610b301142,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,1,q1_revision_surrogate,1.0,1.5077060979092494,0,,5.0,13.0,0.8808595223855932,8.0,3.5089584229256743,1.0,0.19165458134154675,nan,3.0,0.10769329270780352
BMA,BMA_000014,BMA_000014,0,trainval,train,gp::62447e610b301142,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,5,q1_revision_surrogate,1.0,1.1371475380146876,0,,5.0,6.0,0.0,1.0,4.577381110041718,1.0,0.1472489140225627,nan,1.0,0.08122482414390626
BMA,BMA_000017,BMA_000017,0,trainval,train,gp::62447e610b301142,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,9,q1_revision_surrogate,1.0,1.173012219951488,0,,3.0,11.0,0.5517943487735619,12.0,1.4306741405114658,0.0,0.08006452516830966,nan,1.0,0.08378658713939201
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::62447e610b301142,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.1141416139435023,0,,8.0,9.0,0.0,1.0,6.630985584257165,1.0,0.10079852688502867,nan,1.0,0.07958154385310731
BMA,BMA_000027,BMA_000027,0,trainval,train,gp::62447e610b301142,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.2011527369031683,0,,8.0,8.0,0.0,1.0,7.764283700220144,1.0,0.10758723760124889,nan,1.0,0.08579662406451202
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::62447e610b301142,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.178906849003397,0,,8.0,10.0,0.0,1.0,6.063467609319725,1.0,0.10970424533297636,nan,1.0,0.08420763207167122
BMA,BMA_000030,BMA_000030,0,trainval,train,gp::62447e610b301142,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.105473984964192,0,,8.0,10.0,0.0,1.0,6.372662010031285,1.0,0.09618971226868543,nan,1.0,0.07896242749744228
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::62447e610b301142,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.1935819649370387,0,,8.0,10.0,0.0,1.0,7.552339313111383,1.0,0.10757650916804475,nan,1.0,0.08525585463835991
BMA,BMA_000032,BMA_000032,0,trainval,val,gp::62447e610b301142,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,5,3,q1_revision_surrogate,1.0,1.0154770009685308,0,,2.0,5.0,1.0735374383272118,8.0,6.151026373252017,0.0,0.1728817569740049,nan,1.0,0.07253407149775219
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::62447e610b301142,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,5,3,q1_revision_surrogate,1.0,1.094379793968983,0,,2.0,6.0,1.0464439021264946,6.0,5.065576486829779,0.0,0.17719256981831735,nan,1.0,0.07816998528349879
