dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000001,BMA_000001,0,trainval,train,gp::b7c5d08ee051460f,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,8,7,q1_revision_surrogate,1.0,5.462127913953736,0,,1.0,12.0,0.017364338749568997,10.0,0.05073492300558028,0.0,0.09172293261674125,nan,5.0,0.3901519938538383
BMA,BMA_000005,BMA_000005,0,trainval,train,gp::b7c5d08ee051460f,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,6,1,q1_revision_surrogate,1.0,5.095241316943429,0,,5.0,13.0,1.040066859912624,3.0,3.25322812819856,4.0,0.28474769957124374,nan,2.0,0.3639458083531021
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::b7c5d08ee051460f,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,11,3,q1_revision_surrogate,1.0,5.160785509971902,0,,8.0,13.0,0.24346100327865294,3.0,0.5698507397817344,3.0,0.1694530590455695,nan,2.0,0.36862753642656443
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::b7c5d08ee051460f,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,7,9,q1_revision_surrogate,1.0,5.27185083006043,0,,2.0,14.0,0.09404100351089029,7.0,0.2211916534795948,1.0,0.1502026044863453,nan,2.0,0.37656077357574497
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::b7c5d08ee051460f,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,4,8,q1_revision_surrogate,1.0,5.070353607065044,0,,4.0,11.0,0.34820228356710325,5.0,1.038946788848008,2.0,0.09193445512697451,nan,2.0,0.3621681147903603
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::b7c5d08ee051460f,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,2,8,q1_revision_surrogate,1.0,5.433503463980742,0,,6.0,13.0,0.647219710061628,4.0,1.6873284476338481,2.0,0.17097601531870224,nan,1.0,0.3881073902843387
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::b7c5d08ee051460f,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,0,8,q1_revision_surrogate,1.0,5.193174106068909,0,,8.0,13.0,0.0,1.0,5.770294689220364,3.0,0.2262756372348227,nan,1.0,0.3709410075763507
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::b7c5d08ee051460f,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,5,5,q1_revision_surrogate,1.0,5.410338485031389,0,,0.0,14.0,0.3069047227271636,2.0,0.8872825547155602,3.0,0.10493800654831442,nan,1.0,0.3864527489308135
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::b7c5d08ee051460f,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,10,3,q1_revision_surrogate,1.0,5.400264385971241,0,,7.0,14.0,0.709024654631849,3.0,2.296654943742001,3.0,0.11249466524764233,nan,1.0,0.38573317042651717
BMA,BMA_000037,BMA_000037,0,trainval,train,gp::b7c5d08ee051460f,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,5,3,q1_revision_surrogate,1.0,5.1776565259788185,0,,2.0,14.0,0.5067894086963733,5.0,1.8634398530669833,2.0,0.06894353067934146,nan,2.0,0.369832608998487
