dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,1,q1_revision_surrogate,1.0,1.1865327000850812,0,,1.0,14.0,0.0,1.0,0.6668424490372983,1.0,0.17403734562397474,nan,1.0,0.08475233572036293
BMA,BMA_000014,BMA_000014,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,5,q1_revision_surrogate,1.0,1.092665022937581,0,,5.0,14.0,0.0,1.0,0.9365953263308798,1.0,0.04252358682913348,nan,1.0,0.07804750163839864
BMA,BMA_000017,BMA_000017,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,9,q1_revision_surrogate,1.0,0.9765359659213573,0,,3.0,13.0,0.11406819276867441,12.0,0.23745702038553665,0.0,0.15431512020427188,nan,3.0,0.06975256899438266
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.9789672968909144,0,,8.0,12.0,0.0,1.0,5.796021579830812,1.0,0.161296304965694,nan,1.0,0.06992623549220818
BMA,BMA_000027,BMA_000027,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.9050253441091627,0,,8.0,12.0,0.0,1.0,5.933347075675893,1.0,0.15816523372720845,nan,1.0,0.06464466743636876
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.9783716009696946,0,,8.0,12.0,0.0,1.0,4.494532048923937,1.0,0.07228767287882516,nan,1.0,0.06988368578354962
BMA,BMA_000030,BMA_000030,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.0651715490967035,0,,8.0,12.0,0.0,1.0,5.245790286717277,1.0,0.10840684066804794,nan,1.0,0.07608368207833596
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.9785521340090781,0,,8.0,12.0,0.0,1.0,5.724215633226438,1.0,0.15122854846373143,nan,1.0,0.06989658100064844
BMA,BMA_000032,BMA_000032,0,trainval,val,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,5,3,q1_revision_surrogate,1.0,0.989644214976579,0,,2.0,14.0,0.7487166640668583,8.0,3.2544984016010234,0.0,0.08761662618448916,nan,3.0,0.07068887249832707
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,5,3,q1_revision_surrogate,1.0,0.9728638719534501,0,,2.0,14.0,0.8312553196265361,7.0,3.8179619065596153,0.0,0.10498459195024117,nan,3.0,0.06949027656810358
TBF,TBF_000005,TBF_000005,0,trainval,val,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,12,6,q1_revision_surrogate,1.0,0.9797680020565167,0,,6.0,2.0,0.65579535861177,4.0,2.1692276588683224,3.0,0.11436375542415145,nan,1.0,0.06998342871832262
TBF,TBF_000022,TBF_000022,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,3,6,q1_revision_surrogate,1.0,0.9544177489588037,0,,3.0,14.0,0.3332695655731096,5.0,1.003947672330228,1.0,0.06546189019553902,nan,2.0,0.06817269635420027
TBF,TBF_000023,TBF_000023,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,11,5,q1_revision_surrogate,1.0,1.0101138050667942,0,,6.0,14.0,1.2294142653344913,3.0,2.1311500877805525,3.0,0.45842370439882596,nan,1.0,0.07215098607619959
TBF,TBF_000027,TBF_000027,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,4,6,q1_revision_surrogate,1.0,0.976073500001803,0,,2.0,14.0,0.26912505570110756,3.0,0.5055558369214573,3.0,0.2536458468862072,nan,1.0,0.0697195357144145
TBF,TBF_000094,TBF_000094,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,12,7,q1_revision_surrogate,1.0,0.8851103590568528,0,,5.0,2.0,1.2342116623276351,3.0,5.004176998429584,5.0,0.22474025858279068,nan,1.0,0.06322216850406091
