dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
TBI,TBI_000001,TBI_000001,0,trainval,train,gp::6da31bed31f70742,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,7,6,q1_revision_surrogate,1.0,1.3051322608953342,0,,1.0,2.0,0.7688560655333334,7.0,2.478707031969834,1.0,0.14714326158479454,nan,1.0,0.13051322608953342
TBI,TBI_000007,TBI_000007,0,trainval,val,gp::6da31bed31f70742,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,1.3589066310087219,0,,1.0,2.0,1.0984227871125696,7.0,5.306735625109823,1.0,0.2015267521180779,nan,1.0,0.1358906631008722
TBI,TBI_000009,TBI_000009,0,trainval,train,gp::6da31bed31f70742,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,1.3491065789712593,0,,1.0,2.0,0.8204199153524845,9.0,2.680880176780344,0.0,0.13450902963716993,nan,1.0,0.13491065789712592
TBI,TBI_000014,TBI_000014,0,trainval,train,gp::6da31bed31f70742,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,1.4019075189717114,0,,1.0,2.0,1.0853709872725665,4.0,1.9886740196138921,2.0,0.42870583325474315,nan,1.0,0.14019075189717115
TBI,TBI_000015,TBI_000015,0,trainval,val,gp::6da31bed31f70742,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,7,5,q1_revision_surrogate,1.0,1.4320062319748104,0,,2.0,7.0,0.5843812355202015,3.0,1.4563795347522779,2.0,0.11012765537216777,nan,1.0,0.14320062319748103
TBI,TBI_000017,TBI_000017,0,trainval,train,gp::6da31bed31f70742,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,7,5,q1_revision_surrogate,1.0,1.4395385429961607,0,,2.0,3.0,0.5960561208397098,4.0,0.9440511936702245,2.0,0.2740222909048791,nan,1.0,0.14395385429961607
TBI,TBI_000019,TBI_000019,0,trainval,train,gp::6da31bed31f70742,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,7,5,q1_revision_surrogate,1.0,1.3851040109293535,0,,2.0,5.0,1.1025151435343692,2.0,3.2968161106851266,3.0,0.3799357834824964,nan,1.0,0.13851040109293536
TBI,TBI_000020,TBI_000020,0,trainval,train,gp::6da31bed31f70742,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,1.4463096719700843,0,,1.0,1.0,1.7111379276605458,2.0,11.414553184988693,1.0,0.6121580945322552,nan,1.0,0.14463096719700844
TBI,TBI_000026,TBI_000026,0,trainval,train,gp::6da31bed31f70742,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,1.4624755110125989,0,,1.0,1.0,1.5118326749331101,4.0,5.46213257229845,1.0,0.4103146370671683,nan,1.0,0.1462475511012599
TBI,TBI_000027,TBI_000027,0,trainval,train,gp::6da31bed31f70742,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,1.3936472800560296,0,,1.0,1.0,1.4332944091243287,4.0,4.658373351203532,2.0,0.4264369581978287,nan,1.0,0.13936472800560296
