method,rank_based_rank,value_based_rank,absolute_rank_shift
single::laplacian_sharpen,1,6,5.0
single::histogram_equalization,2,5,3.0
single::clahe_enhancement,3,1,2.0
conventional_clahe_unsharp,4,4,0.0
single::dog_filter,5,7,2.0
identity,6,10,4.0
single::unsharp_mask,7,3,4.0
single::gamma_correction,8,9,1.0
single::ssr,9,2,7.0
single::median_filter,10,12,2.0
single::fft_highpass_filter,11,11,0.0
single::bilateral_filter,12,13,1.0
single::msr,13,8,5.0
single::gaussian_blur,14,15,1.0
single::nlm_denoising,15,16,1.0
single::morph_open_close,16,17,1.0
single::gradient_morph,17,14,3.0
single::tophat_bothat,18,18,0.0
