dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
TBI,TBI_000001,TBI_000001,0,trainval,train,gp::8c4583b9ef7cb4d6,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,5,6,q1_revision_surrogate,1.0,0.9004789079772308,0,,1.0,10.0,0.8874282780122674,7.0,2.5138590553448377,0.0,0.26730143047185206,nan,2.0,0.09004789079772309
TBI,TBI_000007,TBI_000007,0,trainval,val,gp::8c4583b9ef7cb4d6,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,4,5,q1_revision_surrogate,1.0,0.8795926549937576,0,,1.0,8.0,0.17989861110727468,6.0,0.29724407581772655,0.0,0.30334526137293644,nan,1.0,0.08795926549937576
TBI,TBI_000009,TBI_000009,0,trainval,train,gp::8c4583b9ef7cb4d6,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,3,5,q1_revision_surrogate,1.0,0.926719504990615,0,,2.0,7.0,0.10685780534513212,6.0,0.18397460620311437,1.0,0.1634080636742707,nan,2.0,0.09267195049906149
TBI,TBI_000014,TBI_000014,0,trainval,train,gp::8c4583b9ef7cb4d6,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,4,5,q1_revision_surrogate,1.0,0.963019923074171,0,,1.0,6.0,0.43304141729890044,5.0,0.696841118245486,1.0,0.17115665742366354,nan,1.0,0.0963019923074171
TBI,TBI_000015,TBI_000015,0,trainval,val,gp::8c4583b9ef7cb4d6,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,7,5,q1_revision_surrogate,1.0,0.961711399955675,0,,2.0,7.0,0.9908753777079566,3.0,1.6151556649344512,2.0,0.6623464112914387,nan,2.0,0.0961711399955675
TBI,TBI_000017,TBI_000017,0,trainval,train,gp::8c4583b9ef7cb4d6,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,7,5,q1_revision_surrogate,1.0,0.9402363370172679,0,,2.0,9.0,1.0355252815469762,3.0,1.7741454890457342,2.0,0.49488301445740757,nan,2.0,0.0940236337017268
TBI,TBI_000019,TBI_000019,0,trainval,train,gp::8c4583b9ef7cb4d6,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,7,5,q1_revision_surrogate,1.0,0.9108074989635497,0,,2.0,6.0,0.5038710186300356,3.0,1.0010293274332167,2.0,0.13992050750132937,nan,1.0,0.09108074989635498
TBI,TBI_000020,TBI_000020,0,trainval,train,gp::8c4583b9ef7cb4d6,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,5,5,q1_revision_surrogate,1.0,0.9809589301003143,0,,0.0,6.0,1.0003806112168365,6.0,1.7061092239473823,1.0,0.5403010613153458,nan,1.0,0.09809589301003144
TBI,TBI_000026,TBI_000026,0,trainval,train,gp::8c4583b9ef7cb4d6,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,7,5,q1_revision_surrogate,1.0,0.963876246009022,0,,2.0,6.0,0.3760411001837388,3.0,0.7895787297125366,2.0,0.11314123007185833,nan,1.0,0.0963876246009022
TBI,TBI_000027,TBI_000027,0,trainval,train,gp::8c4583b9ef7cb4d6,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,7,5,q1_revision_surrogate,1.0,0.9460102419834584,0,,2.0,6.0,1.0114518738204366,3.0,1.5916322756676224,1.0,0.44440668132860306,nan,1.0,0.09460102419834585
