dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::ade46a370df9c70c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,1,q1_revision_surrogate,1.0,5.207337755942717,0,,5.0,5.0,1.113125376723572,4.0,4.392138517886848,3.0,0.22423348610798452,nan,1.0,0.3719526968530512
BMA,BMA_000014,BMA_000014,0,trainval,train,gp::ade46a370df9c70c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,8,5,q1_revision_surrogate,1.0,5.028970394982025,0,,3.0,6.0,0.17375148687496078,8.0,0.4078778745107023,2.0,0.16035436209090145,nan,2.0,0.35921217107014464
BMA,BMA_000017,BMA_000017,0,trainval,train,gp::ade46a370df9c70c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,13,9,q1_revision_surrogate,1.0,5.1229343640152365,0,,4.0,13.0,0.0,3.0,2.2332209079777345,3.0,0.133824591322708,nan,1.0,0.36592388314394547
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::ade46a370df9c70c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,11,8,q1_revision_surrogate,1.0,5.372257517999969,0,,3.0,13.0,0.5310879611897934,3.0,1.2186815037629555,3.0,0.2733594903533177,nan,3.0,0.38373267985714066
BMA,BMA_000027,BMA_000027,0,trainval,train,gp::ade46a370df9c70c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,11,8,q1_revision_surrogate,1.0,5.559188109007664,0,,3.0,13.0,0.7278945481144621,2.0,1.6761167207964518,3.0,0.23588802423489386,nan,1.0,0.3970848649291189
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::ade46a370df9c70c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,11,8,q1_revision_surrogate,1.0,5.659292348078452,0,,3.0,13.0,0.7324470683460368,5.0,1.6974642285896686,3.0,0.24345299573981286,nan,1.0,0.40423516771988943
BMA,BMA_000030,BMA_000030,0,trainval,train,gp::ade46a370df9c70c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,13,8,q1_revision_surrogate,1.0,5.303145988029428,0,,5.0,13.0,0.0,3.0,0.33208631072161787,2.0,0.23494604830549523,nan,1.0,0.378796142002102
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::ade46a370df9c70c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,1,8,q1_revision_surrogate,1.0,5.20735630299896,0,,7.0,13.0,1.2818750584662577,5.0,4.450484466520967,2.0,0.1805216661002352,nan,1.0,0.37195402164278285
BMA,BMA_000032,BMA_000032,0,trainval,val,gp::ade46a370df9c70c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,8,3,q1_revision_surrogate,1.0,5.294777240953408,0,,5.0,7.0,0.3716356003191782,4.0,0.8791503578295391,2.0,0.23957253837084816,nan,1.0,0.37819837435381487
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::ade46a370df9c70c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,7,3,q1_revision_surrogate,1.0,5.56433491804637,0,,4.0,4.0,0.3053288697474016,6.0,0.8429545861158684,3.0,0.06502510649530864,nan,2.0,0.3974524941461693
