dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000011,BMA_000011,0,trainval,train,gp::f26a7d48beeb0a88,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,11,4,q1_revision_surrogate,1.0,5.36059730197303,0,,7.0,13.0,0.6030536004070824,2.0,0.7493706070555466,4.0,0.8290426856178112,nan,1.0,0.38289980728378786
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::f26a7d48beeb0a88,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,2,10,q1_revision_surrogate,1.0,5.407854360993952,0,,8.0,12.0,0.8690748673617714,4.0,2.377400355729696,2.0,0.1733451997443091,nan,1.0,0.38627531149956795
BMA,BMA_000022,BMA_000022,0,trainval,train,gp::f26a7d48beeb0a88,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,5,9,q1_revision_surrogate,1.0,5.298710048082285,0,,4.0,13.0,1.4826332523152557,2.0,4.585557105568326,1.0,0.33935351011932235,nan,1.0,0.37847928914873463
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::f26a7d48beeb0a88,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,13,8,q1_revision_surrogate,1.0,4.949230200028978,0,,5.0,13.0,0.0,3.0,2.740049814032669,4.0,0.09146053650283097,nan,1.0,0.35351644285921274
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::f26a7d48beeb0a88,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,2,8,q1_revision_surrogate,1.0,5.270451936055906,0,,6.0,13.0,0.6393452802005793,6.0,1.330049813367677,2.0,0.16637824497713116,nan,1.0,0.3764608525754219
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::f26a7d48beeb0a88,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,13,8,q1_revision_surrogate,1.0,5.025362532935105,0,,5.0,14.0,0.0,2.0,0.7781438389346288,2.0,0.10167917152954932,nan,1.0,0.3589544666382218
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::f26a7d48beeb0a88,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,11,8,q1_revision_surrogate,1.0,5.326560343033634,0,,3.0,11.0,0.8708153015752422,6.0,2.214037727812093,2.0,0.1310276716551683,nan,1.0,0.3804685959309739
BMA,BMA_000033,BMA_000033,0,trainval,train,gp::f26a7d48beeb0a88,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,7,3,q1_revision_surrogate,1.0,5.276104070944712,0,,4.0,13.0,0.3219018346560766,3.0,0.7898861295304701,3.0,0.20387380636828567,nan,1.0,0.3768645764960508
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::f26a7d48beeb0a88,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,10,5,q1_revision_surrogate,1.0,5.3526886409381405,0,,5.0,4.0,0.7772689220580712,8.0,2.770779865731765,1.0,0.09593652174801753,nan,1.0,0.3823349029241529
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::f26a7d48beeb0a88,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,6,3,q1_revision_surrogate,1.0,5.344259060104378,0,,3.0,8.0,1.1556763745813727,3.0,2.978398019906601,2.0,0.3581362933159855,nan,1.0,0.3817327900074555
PBS,PBS_000000,PBS_000000,0,trainval,train,gp::f26a7d48beeb0a88,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,3,4,q1_revision_surrogate,1.0,3.4127879409352317,0,,1.0,1.0,1.3221865962232568,3.0,5.915503653599023,2.0,0.39018293503201545,nan,1.0,0.3791986601039146
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::f26a7d48beeb0a88,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,7,1,q1_revision_surrogate,1.0,3.1660341760143638,0,,6.0,1.0,1.1922805987501037,4.0,2.573612072695066,1.0,0.37960255830162726,nan,1.0,0.3517815751127071
PBS,PBS_000014,PBS_000014,0,trainval,train,gp::f26a7d48beeb0a88,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,0,3,q1_revision_surrogate,1.0,3.3889995709760115,0,,3.0,9.0,0.0,3.0,1.6040169941861804,1.0,0.16300702166209283,nan,1.0,0.3765555078862235
