dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000004,BMA_000004,0,trainval,val,gp::10aa3cbdccceba8a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,7,q1_revision_surrogate,1.0,4.457417399971746,0,,7.0,11.0,0.0,1.0,4.650855035220216,1.0,0.09038867985795347,nan,1.0,0.318386957140839
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::10aa3cbdccceba8a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,3,q1_revision_surrogate,1.0,4.772221709950827,0,,3.0,14.0,0.0,1.0,1.911743490426945,1.0,0.15455811386794652,nan,1.0,0.34087297928220195
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::10aa3cbdccceba8a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,1,q1_revision_surrogate,1.0,4.349369526025839,0,,1.0,14.0,0.0,1.0,0.8187818976439483,1.0,0.16988378760957223,nan,1.0,0.3106692518589885
BMA,BMA_000014,BMA_000014,0,trainval,train,gp::10aa3cbdccceba8a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,5,q1_revision_surrogate,1.0,4.448872630018741,0,,5.0,14.0,0.0,1.0,0.7659295047779666,1.0,0.0520780624828748,nan,1.0,0.31777661642991006
BMA,BMA_000017,BMA_000017,0,trainval,train,gp::10aa3cbdccceba8a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,9,q1_revision_surrogate,1.0,4.755607147933915,0,,3.0,13.0,0.09962632961240958,12.0,0.22288777512923524,0.0,0.15843527918350278,nan,4.0,0.3396862248524225
BMA,BMA_000018,BMA_000018,0,trainval,val,gp::10aa3cbdccceba8a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,10,q1_revision_surrogate,1.0,4.781812970060855,0,,4.0,14.0,0.20137553420625753,11.0,0.5337037590489003,0.0,0.051958634224089056,nan,3.0,0.3415580692900611
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::10aa3cbdccceba8a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,8,q1_revision_surrogate,1.0,4.789677897002548,0,,2.0,11.0,0.0494721105392143,12.0,0.11881830201300261,0.0,0.10101641408370159,nan,4.0,0.34211984978589627
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::10aa3cbdccceba8a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,8,q1_revision_surrogate,1.0,0.801244770991616,0,,2.0,13.0,0.07092699467187802,12.0,0.13964267520204082,0.0,0.17830853385195422,nan,3.0,0.057231769356544
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::10aa3cbdccceba8a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,5,5,q1_revision_surrogate,1.0,0.7846766810398549,0,,0.0,14.0,0.1491897254569453,9.0,0.4374659876604924,0.0,0.05864429933374637,nan,3.0,0.056048334359989634
BMA,BMA_000037,BMA_000037,0,trainval,train,gp::10aa3cbdccceba8a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,5,3,q1_revision_surrogate,1.0,4.621787994983606,0,,2.0,14.0,0.5442264322183279,7.0,2.0848560294796377,0.0,0.0562108698472592,nan,3.0,0.3301277139274004
