dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
TBI,TBI_000001,TBI_000001,0,trainval,train,gp::eeabdb0dec7bf494,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,6,q1_revision_surrogate,1.0,4.112863798975013,0,,0.0,10.0,0.5710173064978934,3.0,1.0148078739583735,2.0,0.4768463257115602,nan,2.0,0.41128637989750133
TBI,TBI_000007,TBI_000007,0,trainval,val,gp::eeabdb0dec7bf494,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,5,q1_revision_surrogate,1.0,4.093377941986546,0,,1.0,10.0,1.5122655367054438,2.0,2.245383251726495,2.0,1.0970645388430371,nan,1.0,0.40933779419865457
TBI,TBI_000009,TBI_000009,0,trainval,train,gp::eeabdb0dec7bf494,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,7,5,q1_revision_surrogate,1.0,4.255789134069346,0,,2.0,8.0,1.2985084103052396,2.0,2.0601669662921234,2.0,0.7379016236442937,nan,1.0,0.4255789134069346
TBI,TBI_000014,TBI_000014,0,trainval,train,gp::eeabdb0dec7bf494,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,7,5,q1_revision_surrogate,1.0,4.169054775964469,0,,2.0,10.0,0.672900746032778,3.0,0.7997186215696841,2.0,0.7134598249902173,nan,1.0,0.41690547759644686
TBI,TBI_000015,TBI_000015,0,trainval,val,gp::eeabdb0dec7bf494,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,5,q1_revision_surrogate,1.0,4.103310126927681,0,,1.0,7.0,0.5359913991646134,4.0,0.8014415830384136,1.0,0.5254664428760748,nan,1.0,0.4103310126927681
TBI,TBI_000017,TBI_000017,0,trainval,train,gp::eeabdb0dec7bf494,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,4,5,q1_revision_surrogate,1.0,3.9513582070358098,0,,1.0,10.0,1.492265328714398,2.0,2.6402977993509293,2.0,0.8168971507468094,nan,1.0,0.395135820703581
TBI,TBI_000019,TBI_000019,0,trainval,train,gp::eeabdb0dec7bf494,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,8,5,q1_revision_surrogate,1.0,4.163097142940387,0,,3.0,8.0,0.8796413939135448,2.0,1.1941460957171544,3.0,0.5106156585511233,nan,1.0,0.41630971429403874
TBI,TBI_000020,TBI_000020,0,trainval,train,gp::eeabdb0dec7bf494,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,7,5,q1_revision_surrogate,1.0,3.975506816059351,0,,2.0,9.0,0.6377085887569659,3.0,0.9299952138977399,2.0,0.5116660880293177,nan,1.0,0.3975506816059351
TBI,TBI_000026,TBI_000026,0,trainval,train,gp::eeabdb0dec7bf494,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,4,5,q1_revision_surrogate,1.0,4.124850085005164,0,,1.0,8.0,1.576145088970711,2.0,2.1544334927875597,3.0,1.121765308623915,nan,1.0,0.4124850085005164
TBI,TBI_000027,TBI_000027,0,trainval,train,gp::eeabdb0dec7bf494,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,9,5,q1_revision_surrogate,1.0,3.9119209080236033,0,,4.0,9.0,0.0,1.0,2.1383975547117147,3.0,0.7948559676906738,nan,1.0,0.39119209080236034
