dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::83a5591c2d19457d,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,6,3,q1_revision_surrogate,1.0,7.67083569499664,0,,3.0,8.0,1.28942686677964,3.0,3.7285573302454327,3.0,0.3098673812840737,nan,1.0,0.5479168353569028
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::83a5591c2d19457d,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,6,1,q1_revision_surrogate,1.0,7.78126032394357,0,,5.0,7.0,0.9026889202088489,4.0,1.3945253128367447,3.0,0.5136311269887258,nan,1.0,0.5558043088531122
BMA,BMA_000016,BMA_000016,0,trainval,train,gp::83a5591c2d19457d,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,13,1,q1_revision_surrogate,1.0,7.700689918012358,0,,12.0,13.0,0.0,2.0,1.7846535120764744,3.0,0.17254846474441476,nan,1.0,0.5500492798580255
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::83a5591c2d19457d,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,10,10,q1_revision_surrogate,1.0,7.54674513603095,0,,0.0,13.0,0.47900214215369086,3.0,0.9610259726262795,4.0,0.23158343822069005,nan,1.0,0.5390532240022107
BMA,BMA_000020,BMA_000020,0,trainval,val,gp::83a5591c2d19457d,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,9,9,q1_revision_surrogate,1.0,7.592494409997016,0,,0.0,13.0,0.17371138890571558,6.0,0.3029859076318932,3.0,0.2788254272853354,nan,1.0,0.5423210292855012
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::83a5591c2d19457d,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,1,9,q1_revision_surrogate,1.0,7.6436783210374415,0,,8.0,13.0,0.920130522288143,6.0,2.258451110951785,2.0,0.12201455747204691,nan,1.0,0.5459770229312458
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::83a5591c2d19457d,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,11,8,q1_revision_surrogate,1.0,7.7191720510600135,0,,3.0,12.0,0.2871256008667131,4.0,0.4447517290785349,3.0,0.28598082595676094,nan,1.0,0.5513694322185724
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::83a5591c2d19457d,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,11,8,q1_revision_surrogate,1.0,7.744597908924334,0,,3.0,13.0,0.6552704503323165,4.0,1.89577216695011,3.0,0.1896799929118489,nan,1.0,0.5531855649231667
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::83a5591c2d19457d,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,11,8,q1_revision_surrogate,1.0,7.698298002942465,0,,3.0,13.0,0.792912712067816,5.0,2.486853486868951,2.0,0.1752479709231292,nan,1.0,0.5498784287816046
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::83a5591c2d19457d,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,11,8,q1_revision_surrogate,1.0,7.932272518053651,0,,3.0,14.0,0.2854174509289015,5.0,0.6825386367596562,2.0,0.10343730082458404,nan,2.0,0.5665908941466894
