dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,raw_curve,normalized_curve,heldout_dataset,optimized_for_dataset,evaluation_dataset,selection_role,source_method,workflow_origin,selection_endpoint,train_datasets,evaluation_scope
BMA,BMA_000000,BMA_000000,0,test,test,BMA_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,5,7,q1_revision_surrogate,1.0,4.106620667036623,0,,"[-184138.453125, -263031.21875, -219784.0, -196157.53125, -180789.125, -169693.671875, -180580.234375, -186276.96875, -197470.9375, -216100.6875, -254946.015625, -342038.28125, -430584.46875, -353402.90625]","[0.9446328447648504, 0.6422351880824658, 0.8080027018009391, 0.8985634614482796, 0.9574708910475055, 1.0, 0.9582715732773968, 0.9364358686713449, 0.8935291472228173, 0.8221209173306527, 0.673225944451974, 0.33939942903553216, 0.0, 0.295838578533607]",,BMA,BMA,dataset_specific_gp_selected,BMA_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""BMA""]",dataset_outer_test_split
BMA,BMA_000002,BMA_000002,0,test,test,BMA_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,8,q1_revision_surrogate,1.0,4.080276592052542,0,,"[-171778.046875, -308658.78125, -247903.171875, -215936.125, -195993.390625, -183116.140625, -183835.546875, -190092.640625, -200083.84375, -217850.015625, -245712.734375, -305685.34375, -394660.90625, -405604.8125]","[1.0, 0.4146062192276026, 0.6744379335850466, 0.8111504557360273, 0.8964389569120783, 0.9515107104197665, 0.9484340470272029, 0.9216745195912599, 0.8789454372370892, 0.8029653764108085, 0.683805712736185, 0.42732263127757575, 0.04680347957919969, 0.0]",,BMA,BMA,dataset_specific_gp_selected,BMA_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""BMA""]",dataset_outer_test_split
BMA,BMA_000003,BMA_000003,0,test,test,BMA_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,7,q1_revision_surrogate,1.0,4.064463956980035,0,,"[-164885.8125, -303564.125, -246394.453125, -215191.1875, -196303.375, -183585.96875, -186129.828125, -192082.546875, -202440.09375, -219575.75, -246882.0, -304900.78125, -395335.1875, -403594.09375]","[1.0, 0.41904691461138827, 0.6585428867478806, 0.7892600343122784, 0.8683851170328847, 0.9216610494111209, 0.9110042788890467, 0.8860670680020658, 0.8426770908267348, 0.7708921650576377, 0.6565004487040602, 0.41344737594854597, 0.034598323136307195, 0.0]",,BMA,BMA,dataset_specific_gp_selected,BMA_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""BMA""]",dataset_outer_test_split
BMA,BMA_000007,BMA_000007,0,test,test,BMA_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,4,q1_revision_surrogate,1.0,4.08542518899776,0,,"[-149292.421875, -201633.25, -189048.421875, -178599.03125, -169415.140625, -161530.578125, -291017.4375, -294838.4375, -302291.59375, -304725.84375, -291212.75, -265295.53125, -239491.515625, -218264.8125]","[1.0, 0.6632588571131591, 0.7442248937170547, 0.8114523310271812, 0.8705380187397357, 0.9212643194599296, 0.08819471439690969, 0.06361184184667491, 0.015661046193511913, 0.0, 0.086938147452401, 0.25367975577163815, 0.4196930578898381, 0.5562576581472433]",,BMA,BMA,dataset_specific_gp_selected,BMA_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""BMA""]",dataset_outer_test_split
BMA,BMA_000010,BMA_000010,0,test,test,BMA_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,1,q1_revision_surrogate,1.0,4.2722650080686435,0,,"[-118876.84375, -145291.109375, -137553.609375, -131164.890625, -126209.4375, -122004.0234375, -271772.15625, -270020.53125, -262820.09375, -249486.796875, -230674.6875, -205159.5, -176394.484375, -157350.5625]","[1.0, 0.8272395327685406, 0.8778460547964805, 0.9196309770778617, 0.952041736073498, 0.979546922424453, 0.0, 0.0114563682258081, 0.0585502743911786, 0.14575567432781825, 0.2687948248903968, 0.43567494098290294, 0.6238103072976812, 0.7483656096389483]",,BMA,BMA,dataset_specific_gp_selected,BMA_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""BMA""]",dataset_outer_test_split
BMA,BMA_000015,BMA_000015,0,test,test,BMA_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,5,q1_revision_surrogate,1.0,4.161204922944307,0,,"[-158349.96875, -200860.09375, -185118.171875, -177467.8125, -170387.96875, -165069.6875, -227880.421875, -244966.5, -285892.21875, -359512.84375, -389422.5, -306759.0625, -250568.484375, -220490.796875]","[1.0, 0.8160312488462429, 0.8841567062073719, 0.9172647495287262, 0.9479038034729625, 0.9709194393913924, 0.6990968474319684, 0.6251543583244492, 0.4480423557484183, 0.1294383892719832, 0.0, 0.35773805329792957, 0.6009109558538235, 0.7310765248087011]",,BMA,BMA,dataset_specific_gp_selected,BMA_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""BMA""]",dataset_outer_test_split
BMA,BMA_000021,BMA_000021,0,test,test,BMA_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,6,9,q1_revision_surrogate,1.0,4.111873298999853,0,,"[-196843.28125, -416398.8125, -329869.375, -266700.3125, -230011.90625, -207368.609375, -182333.765625, -187127.203125, -195968.5625, -207211.5625, -224925.390625, -254195.921875, -301932.6875, -389673.78125]","[0.93801075462263, 0.0, 0.3696811576749866, 0.6395593959825404, 0.7963038853449058, 0.8930432198901974, 1.0, 0.9795209170954949, 0.9417478301137311, 0.8937141738711388, 0.8180350908064218, 0.6929821124109263, 0.48903553319146126, 0.11417779632971951]",,BMA,BMA,dataset_specific_gp_selected,BMA_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""BMA""]",dataset_outer_test_split
BMA,BMA_000034,BMA_000034,0,test,test,BMA_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,5,5,q1_revision_surrogate,1.0,4.013628801098093,0,,"[-182833.296875, -194424.671875, -182539.46875, -174202.03125, -168224.234375, -163973.390625, -212079.859375, -226059.71875, -258868.390625, -325016.4375, -370809.4375, -309833.9375, -242792.546875, -213037.890625]","[0.9088171209276792, 0.8527757530175433, 0.9102377056344522, 0.950547108303701, 0.9794482450509753, 1.0, 0.7674173845573793, 0.6998282984855079, 0.541206663762293, 0.22139757886435868, 0.0, 0.2948011283393467, 0.6189293044377616, 0.7627855456469258]",,BMA,BMA,dataset_specific_gp_selected,BMA_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""BMA""]",dataset_outer_test_split
PBS,PBS_000001,PBS_000001,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,8,1,q1_revision_surrogate,1.0,2.0375476180342957,0,,"[-4121634.75, -4925070.5, -5853911.0, -4291775.5, -2958363.25, -3677811.0, -4630347.0, -3467081.0, -2685800.75]","[0.5467853430921478, 0.29318439912247374, 0.0, 0.49308116723526274, 0.9139668513745695, 0.6868763484477852, 0.3862125694647148, 0.7533923416964419, 1.0]",,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000005,PBS_000005,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,2,7,q1_revision_surrogate,1.0,2.3136566310422495,0,,"[-4485588.0, -3860672.75, -2181944.0, -3803140.5, -4762455.0, -4434694.0, -4737409.0, -5432990.0, -4413347.5]","[0.29141451705081994, 0.48363426724814107, 1.0, 0.5013308024555789, 0.20625208009975865, 0.3070691709683591, 0.21395606214123086, 0.0, 0.31363521155960267]",,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
