dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice,heldout_dataset,optimized_for_dataset,evaluation_dataset,selection_role,source_method,workflow_origin,selection_endpoint,train_datasets,evaluation_scope
BMA,BMA_000000,BMA_000000,0,test,test,BMA_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,5,7,q1_revision_surrogate,1.0,4.106620667036623,0,,2.0,11.0,0.08425753567509786,11.0,0.24758544286296394,0.0,0.05655154134674814,0.02605728829560244,3.0,0.29333004764547305,,BMA,BMA,dataset_specific_gp_selected,BMA_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""BMA""]",dataset_outer_test_split
BMA,BMA_000002,BMA_000002,0,test,test,BMA_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,8,q1_revision_surrogate,1.0,4.080276592052542,0,,8.0,11.0,0.0,1.0,4.719600660893859,1.0,0.07382483510694805,0.035145163194636585,1.0,0.291448328003753,,BMA,BMA,dataset_specific_gp_selected,BMA_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""BMA""]",dataset_outer_test_split
BMA,BMA_000003,BMA_000003,0,test,test,BMA_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,7,q1_revision_surrogate,1.0,4.064463956980035,0,,7.0,11.0,0.0,1.0,4.894726175031449,1.0,0.0707546419900792,0.04771859584761757,1.0,0.29031885407000246,,BMA,BMA,dataset_specific_gp_selected,BMA_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""BMA""]",dataset_outer_test_split
BMA,BMA_000007,BMA_000007,0,test,test,BMA_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,4,q1_revision_surrogate,1.0,4.08542518899776,0,,4.0,14.0,0.0,1.0,2.3283375540990496,1.0,0.13574181959992218,0.09378360624053489,1.0,0.29181608492841143,,BMA,BMA,dataset_specific_gp_selected,BMA_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""BMA""]",dataset_outer_test_split
BMA,BMA_000010,BMA_000010,0,test,test,BMA_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,1,q1_revision_surrogate,1.0,4.2722650080686435,0,,1.0,14.0,0.0,1.0,1.1025974051315077,1.0,0.17140860901201513,0.008468177042431921,1.0,0.3051617862906174,,BMA,BMA,dataset_specific_gp_selected,BMA_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""BMA""]",dataset_outer_test_split
BMA,BMA_000015,BMA_000015,0,test,test,BMA_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,5,q1_revision_surrogate,1.0,4.161204922944307,0,,5.0,14.0,0.0,1.0,1.1888867747561216,1.0,0.043384357895883525,0.04766524533513835,1.0,0.2972289230674505,,BMA,BMA,dataset_specific_gp_selected,BMA_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""BMA""]",dataset_outer_test_split
BMA,BMA_000021,BMA_000021,0,test,test,BMA_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,6,9,q1_revision_surrogate,1.0,4.111873298999853,0,,3.0,12.0,0.12743586301430765,12.0,0.25993843703626046,0.0,0.1493170130345355,0.03925782913828052,2.0,0.2937052356428467,,BMA,BMA,dataset_specific_gp_selected,BMA_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""BMA""]",dataset_outer_test_split
BMA,BMA_000034,BMA_000034,0,test,test,BMA_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,5,5,q1_revision_surrogate,1.0,4.013628801098093,0,,0.0,14.0,0.25313437039164555,9.0,0.8127884817013906,0.0,0.03737077031177163,0.10972074263986177,3.0,0.2866877715070067,,BMA,BMA,dataset_specific_gp_selected,BMA_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""BMA""]",dataset_outer_test_split
PBS,PBS_000001,PBS_000001,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,8,1,q1_revision_surrogate,1.0,2.0375476180342957,0,,7.0,9.0,0.0,2.0,0.7328028548537056,1.0,0.21583305543597248,0.0016640845310742123,1.0,0.2263941797815884,,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000005,PBS_000005,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,2,7,q1_revision_surrogate,1.0,2.3136566310422495,0,,5.0,2.0,1.01503493029628,4.0,2.5190722580949423,1.0,0.23773051400699055,0.002863102387008968,1.0,0.2570729590046944,,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000009,PBS_000009,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,4,6,q1_revision_surrogate,1.0,2.428198955953121,0,,2.0,2.0,0.8212947668275601,6.0,2.079999106198457,1.0,0.16842783869999808,0.0017205910246142972,1.0,0.26979988399479127,,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000012,PBS_000012,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,7,1,q1_revision_surrogate,1.0,2.949375717085786,0,,6.0,5.0,1.0162044815574,3.0,1.2530596788777375,2.0,0.6866120899371138,0.017814388053388867,1.0,0.3277084130095318,,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000013,PBS_000013,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,7,2,q1_revision_surrogate,1.0,2.982452212017961,0,,5.0,4.0,1.1880745721096064,2.0,2.7750375607248854,1.0,0.39937786190168306,0.026032383610186057,1.0,0.3313835791131068,,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000024,PBS_000024,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,5,4,q1_revision_surrogate,1.0,4.739809563034214,0,,1.0,13.0,0.16173937073845146,7.0,0.39358625798667496,2.0,0.12156038761705114,0.011634918869571357,1.0,0.31598730420228094,,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000029,PBS_000029,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,0,9,q1_revision_surrogate,1.0,4.79816970101092,0,,9.0,12.0,0.0,1.0,6.118229575810769,3.0,0.17342801621512174,0.008635654435506544,1.0,0.31987798006739465,,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000031,PBS_000031,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,0,1,q1_revision_surrogate,1.0,4.612744249054231,0,,1.0,13.0,0.0,1.0,3.2165034346026573,5.0,0.2880364321194522,0.023016122012140917,1.0,0.3075162832702821,,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
