dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000011,BMA_000011,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,4,q1_revision_surrogate,1.0,1.7715112229343504,0,,4.0,14.0,0.0,1.0,0.5323872271928969,1.0,0.06382225825997925,nan,1.0,0.12653651592388218
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,6,10,q1_revision_surrogate,1.0,1.849863138049841,0,,4.0,14.0,0.06528827047520014,11.0,0.1639354638638737,0.0,0.09202742779050159,nan,6.0,0.13213308128927434
BMA,BMA_000022,BMA_000022,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,6,9,q1_revision_surrogate,1.0,1.7067166559863836,0,,3.0,13.0,0.04356128045452279,12.0,0.09311471185666212,0.0,0.16610182951581656,nan,6.0,0.12190833257045597
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.7994337149430066,0,,8.0,12.0,0.0,1.0,4.3981450915479705,1.0,0.08556439249947856,nan,1.0,0.12853097963878618
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.7613280789228156,0,,8.0,13.0,0.0,1.0,5.5734994709746015,1.0,0.18731449999379035,nan,1.0,0.12580914849448682
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,6,8,q1_revision_surrogate,1.0,1.8025228750193492,0,,2.0,11.0,0.010806483917453202,13.0,0.036022985522313825,0.0,0.016220297395696737,nan,6.0,0.1287516339299535
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.6783318530069664,0,,8.0,12.0,0.0,1.0,3.57342810625982,1.0,0.06130416592852727,nan,1.0,0.11988084664335474
BMA,BMA_000033,BMA_000033,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,3,q1_revision_surrogate,1.0,1.8956399119924754,0,,3.0,14.0,0.0,1.0,0.230379011358166,1.0,0.06537443166814937,nan,6.0,0.1354028508566054
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,5,5,q1_revision_surrogate,1.0,1.8665383700281382,0,,0.0,14.0,0.08363492506594838,9.0,0.24035052771832766,0.0,0.0730156838152202,nan,6.0,0.13332416928772414
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,5,3,q1_revision_surrogate,1.0,1.9990229239920154,0,,2.0,14.0,0.7838686016941391,7.0,3.5018883410852437,0.0,0.10152421299780968,nan,6.0,0.1427873517137154
