dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000011,BMA_000011,0,trainval,train,gp::511f53e20049678a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,13,4,q1_revision_surrogate,1.0,4.650483416044153,0,,9.0,14.0,0.0,3.0,0.12850139271698272,1.0,0.11865198128490502,nan,2.0,0.3321773868602967
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::511f53e20049678a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,0,10,q1_revision_surrogate,1.0,4.4906178610399365,0,,10.0,14.0,0.0,2.0,4.686318867399533,2.0,0.12080799359258404,nan,1.0,0.32075841864570975
BMA,BMA_000022,BMA_000022,0,trainval,train,gp::511f53e20049678a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,0,9,q1_revision_surrogate,1.0,4.671736833988689,0,,9.0,13.0,0.0,1.0,7.738310552804228,2.0,0.18536430829470033,nan,1.0,0.3336954881420492
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::511f53e20049678a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,0,8,q1_revision_surrogate,1.0,4.537398769985884,0,,8.0,12.0,0.0,1.0,3.9151752600890934,2.0,0.08003722901305901,nan,1.0,0.3240999121418489
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::511f53e20049678a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,5,8,q1_revision_surrogate,1.0,4.941897660028189,0,,3.0,13.0,0.008513162987071499,5.0,0.01833788258604668,1.0,0.20939908293962417,nan,8.0,0.35299269000201355
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::511f53e20049678a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,4,8,q1_revision_surrogate,1.0,4.752278728992678,0,,4.0,11.0,0.010172063104936235,6.0,0.03495180688317374,1.0,0.013556566067339529,nan,7.0,0.3394484806423342
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::511f53e20049678a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,5,8,q1_revision_surrogate,1.0,4.877750840969384,0,,3.0,12.0,0.015417018687792328,5.0,0.05217094243151603,1.0,0.04164803078611503,nan,8.0,0.348410774354956
BMA,BMA_000033,BMA_000033,0,trainval,train,gp::511f53e20049678a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,13,3,q1_revision_surrogate,1.0,4.709911059006117,0,,10.0,14.0,0.0,5.0,0.02902749605414601,1.0,0.06688856923590371,nan,3.0,0.33642221850043696
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::511f53e20049678a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,3,5,q1_revision_surrogate,1.0,4.910506997955963,0,,2.0,14.0,0.007105615955570466,10.0,0.019772311640082137,0.0,0.10684948678652025,nan,7.0,0.35075049985399737
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::511f53e20049678a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,13,3,q1_revision_surrogate,1.0,4.761393433087505,0,,10.0,14.0,0.0,5.0,0.008792954259366551,1.0,0.08034293700221204,nan,3.0,0.3400995309348218
PBS,PBS_000000,PBS_000000,0,trainval,train,gp::511f53e20049678a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,2,4,q1_revision_surrogate,1.0,2.9651281610131264,0,,2.0,8.0,0.41832623467316377,4.0,0.5343626142831774,2.0,0.5244735907154656,nan,1.0,0.32945868455701405
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::511f53e20049678a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,5,1,q1_revision_surrogate,1.0,3.1543086559977382,0,,4.0,6.0,0.26002793751145714,6.0,0.8897088253656744,1.0,0.018576756672312712,nan,3.0,0.35047873955530423
