dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
TBF,TBF_000023,TBF_000023,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,11,5,q1_revision_surrogate,1.0,0.7694467309629545,0,,6.0,2.0,1.0166326366743903,4.0,2.5647978560521785,3.0,0.20904900909887267,nan,1.0,0.05496048078306818
TBF,TBF_000027,TBF_000027,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,6,6,q1_revision_surrogate,1.0,0.7382273890543729,0,,0.0,14.0,0.8798661505749026,2.0,1.3898730260212897,4.0,0.4380253175704772,nan,1.0,0.05273052778959807
TBF,TBF_000029,TBF_000029,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,12,6,q1_revision_surrogate,1.0,0.6795905750477687,0,,6.0,2.0,1.0156330524376056,4.0,8.027862727992803,3.0,0.10419455320598714,nan,1.0,0.04854218393198347
TBF,TBF_000039,TBF_000039,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,12,6,q1_revision_surrogate,1.0,0.7808693669503555,0,,6.0,13.0,0.6247333158663023,2.0,1.730239022255118,2.0,0.13634616668134678,nan,1.0,0.05577638335359682
TBF,TBF_000043,TBF_000043,0,trainval,val,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,11,5,q1_revision_surrogate,1.0,0.6617552299285308,0,,6.0,2.0,1.0374342220072608,5.0,4.577134375649119,2.0,0.1612824302480282,nan,1.0,0.04726823070918077
TBF,TBF_000056,TBF_000056,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,11,6,q1_revision_surrogate,1.0,0.6711363090435043,0,,5.0,2.0,1.0542160986893379,4.0,4.403931665587686,2.0,0.12646925666212833,nan,1.0,0.04793830778882174
TBF,TBF_000074,TBF_000074,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,13,6,q1_revision_surrogate,1.0,0.7680414989590645,0,,7.0,13.0,0.0,4.0,1.8834637213834342,3.0,0.07898251317005774,nan,1.0,0.0548601070685046
TBF,TBF_000119,TBF_000119,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,11,5,q1_revision_surrogate,1.0,0.7339288549264893,0,,6.0,8.0,1.5167246545797592,3.0,5.878235758655543,3.0,0.3788481959589487,nan,1.0,0.05242348963760638
TBF,TBF_000153,TBF_000153,0,trainval,val,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,10,5,q1_revision_surrogate,1.0,0.662396650062874,0,,5.0,3.0,0.6977589119575338,8.0,2.393279126454655,1.0,0.11070134027339866,nan,1.0,0.047314046433062425
TBF,TBF_000175,TBF_000175,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,10,4,q1_revision_surrogate,1.0,0.7725956470239908,0,,6.0,14.0,1.3396312774412424,3.0,3.668329107591124,2.0,0.31773634866509504,nan,1.0,0.05518540335885648
