dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::c922c86fc4a19e18,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,11,3,q1_revision_surrogate,1.0,5.0254803750431165,0,,8.0,13.0,0.11078485477370625,5.0,0.24257547250581823,2.0,0.19125507545502984,nan,2.0,0.35896288393165116
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::c922c86fc4a19e18,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,12,1,q1_revision_surrogate,1.0,4.618177909986116,0,,11.0,13.0,0.2652022169159878,9.0,0.6416585147834546,1.0,0.09455599298608064,nan,1.0,0.329869850713294
BMA,BMA_000016,BMA_000016,0,trainval,train,gp::c922c86fc4a19e18,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,10,1,q1_revision_surrogate,1.0,4.314052867004648,0,,9.0,13.0,0.04195491182622979,7.0,0.07813374053170512,2.0,0.22483009002547552,nan,4.0,0.30814663335747483
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::c922c86fc4a19e18,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,4,10,q1_revision_surrogate,1.0,4.590747105074115,0,,6.0,14.0,0.2469956119820973,4.0,0.6063246652643268,3.0,0.17788195791561368,nan,1.0,0.32791050750529394
BMA,BMA_000020,BMA_000020,0,trainval,val,gp::c922c86fc4a19e18,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,2,9,q1_revision_surrogate,1.0,4.45008801005315,0,,7.0,12.0,0.8982626456857179,6.0,2.4845174477888547,1.0,0.24826263669791124,nan,1.0,0.3178634292895107
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::c922c86fc4a19e18,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,2,9,q1_revision_surrogate,1.0,4.753628742997535,0,,7.0,13.0,1.0844184213708417,3.0,2.7835495576493754,3.0,0.4172545130866696,nan,1.0,0.3395449102141096
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::c922c86fc4a19e18,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,6,8,q1_revision_surrogate,1.0,4.7755754390964285,0,,2.0,11.0,0.21117395560312513,3.0,0.844410446031577,3.0,0.07291866225751942,nan,1.0,0.3411125313640306
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::c922c86fc4a19e18,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,2,8,q1_revision_surrogate,1.0,5.043497991980985,0,,6.0,12.0,0.34875529334569777,6.0,0.9854856646403078,2.0,0.08327133262775674,nan,2.0,0.36024985657007036
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::c922c86fc4a19e18,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,4,8,q1_revision_surrogate,1.0,4.623717863927595,0,,4.0,13.0,0.19113096485844128,3.0,0.43504955279664315,3.0,0.19886636036117325,nan,1.0,0.330265561709114
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::c922c86fc4a19e18,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,1,8,q1_revision_surrogate,1.0,4.634011493995786,0,,7.0,12.0,0.4738286195239352,2.0,1.920817649160374,3.0,0.07643420390032098,nan,4.0,0.33100082099969896
