dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
TBI,TBI_000001,TBI_000001,0,trainval,train,gp::dc359c6871a5e1ba,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,8,6,q1_revision_surrogate,1.0,3.8225146300392225,0,,2.0,10.0,0.9356998773929452,3.0,1.3801491937046917,2.0,0.4874756946214254,nan,1.0,0.38225146300392226
TBI,TBI_000007,TBI_000007,0,trainval,val,gp::dc359c6871a5e1ba,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,7,5,q1_revision_surrogate,1.0,3.8302167439833283,0,,2.0,10.0,0.7970565852079989,3.0,1.2358138493034942,2.0,0.5145203249021331,nan,1.0,0.38302167439833285
TBI,TBI_000009,TBI_000009,0,trainval,train,gp::dc359c6871a5e1ba,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,6,5,q1_revision_surrogate,1.0,3.8191624169703573,0,,1.0,8.0,0.7791513099835046,4.0,1.2365446446623596,1.0,0.46349251811521985,nan,1.0,0.38191624169703575
TBI,TBI_000014,TBI_000014,0,trainval,train,gp::dc359c6871a5e1ba,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,9,5,q1_revision_surrogate,1.0,3.8010635839309543,0,,4.0,5.0,0.0,2.0,0.4457666973432531,2.0,0.1566216042961094,nan,1.0,0.3801063583930954
TBI,TBI_000015,TBI_000015,0,trainval,val,gp::dc359c6871a5e1ba,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,8,5,q1_revision_surrogate,1.0,3.606273773009889,0,,3.0,4.0,1.1579542497242954,3.0,3.7252224658305866,2.0,0.30704584723379164,nan,1.0,0.36062737730098887
TBI,TBI_000017,TBI_000017,0,trainval,train,gp::dc359c6871a5e1ba,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,3,5,q1_revision_surrogate,1.0,3.757617123075761,0,,2.0,6.0,1.0318919704006047,3.0,1.0797228049393592,2.0,0.962782509889234,nan,2.0,0.3757617123075761
TBI,TBI_000019,TBI_000019,0,trainval,train,gp::dc359c6871a5e1ba,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,6,5,q1_revision_surrogate,1.0,3.791456151055172,0,,1.0,3.0,0.5641743728652344,6.0,1.1395217971554732,1.0,0.156252749411451,nan,1.0,0.3791456151055172
TBI,TBI_000020,TBI_000020,0,trainval,train,gp::dc359c6871a5e1ba,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,9,5,q1_revision_surrogate,1.0,3.6329198869643733,0,,4.0,10.0,0.0,1.0,1.369799969341587,3.0,0.4536250331624441,nan,1.0,0.3632919886964373
TBI,TBI_000026,TBI_000026,0,trainval,train,gp::dc359c6871a5e1ba,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,2,5,q1_revision_surrogate,1.0,3.759064753074199,0,,3.0,10.0,0.3289221861668348,4.0,0.4097806445485267,2.0,0.7637401184313546,nan,1.0,0.3759064753074199
TBI,TBI_000027,TBI_000027,0,trainval,train,gp::dc359c6871a5e1ba,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,8,5,q1_revision_surrogate,1.0,3.852345568011515,0,,3.0,8.0,1.4027961434006442,2.0,1.581599962984295,3.0,0.9993009657842888,nan,1.0,0.3852345568011515
