dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,7,3,q1_revision_surrogate,1.0,0.5947230480378494,0,,4.0,8.0,0.4164541604614854,4.0,1.301300658076111,2.0,0.08271176525617009,nan,1.0,0.04248021771698924
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,10,1,q1_revision_surrogate,1.0,0.6978426099522039,0,,9.0,13.0,0.4943610394262855,5.0,1.024174385524985,3.0,0.1792545707171929,nan,1.0,0.04984590071087171
BMA,BMA_000016,BMA_000016,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,13,1,q1_revision_surrogate,1.0,0.591019220999442,0,,12.0,10.0,0.0,1.0,5.786471564054307,3.0,0.08355332870767203,nan,1.0,0.04221565864281729
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,2,10,q1_revision_surrogate,1.0,0.583052402944304,0,,8.0,9.0,1.3188536032835396,3.0,4.278567742247041,1.0,0.2799358455852711,nan,1.0,0.04164660021030743
BMA,BMA_000020,BMA_000020,0,trainval,val,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,12,9,q1_revision_surrogate,1.0,0.6561383489752188,0,,3.0,4.0,0.8005624276632475,2.0,2.6042293949212443,4.0,0.1893139146271393,nan,1.0,0.046867024926801344
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,1,9,q1_revision_surrogate,1.0,0.6657215469749644,0,,8.0,11.0,0.8385261763445327,3.0,1.2133961028462639,4.0,0.5553722887532974,nan,1.0,0.04755153906964032
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.5711230960441753,0,,8.0,9.0,0.0,2.0,2.908555716907404,4.0,0.17705290669631965,nan,1.0,0.04079450686029824
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,12,8,q1_revision_surrogate,1.0,0.597255380009301,0,,4.0,12.0,0.6380032711185298,6.0,1.4720169490118518,3.0,0.24212399749506894,nan,1.0,0.04266109857209293
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,12,8,q1_revision_surrogate,1.0,0.574734962079674,0,,4.0,14.0,0.6725128675660187,2.0,1.0393038342523666,5.0,0.6599576686062313,nan,1.0,0.04105249729140529
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,12,8,q1_revision_surrogate,1.0,0.5900430120527744,0,,4.0,9.0,1.4307264404879538,4.0,3.7311011341623086,3.0,0.4268175877373852,nan,1.0,0.04214592943234103
