dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000011,BMA_000011,0,trainval,train,gp::d1a417a733e08aef,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,4,q1_revision_surrogate,1.0,3.056797785917297,0,,4.0,14.0,0.0,1.0,1.8806415434650527,2.0,0.09295051149819467,nan,1.0,0.21834269899409264
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::d1a417a733e08aef,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,7,10,q1_revision_surrogate,1.0,2.8200316400034353,0,,3.0,11.0,0.23884172654238844,10.0,0.4817075310283788,1.0,0.12601006449466204,nan,1.0,0.20143083142881682
BMA,BMA_000022,BMA_000022,0,trainval,train,gp::d1a417a733e08aef,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,9,q1_revision_surrogate,1.0,2.8606484279735014,0,,9.0,14.0,0.0,2.0,3.6852940620785763,4.0,0.4064286678749791,nan,1.0,0.2043320305695358
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::d1a417a733e08aef,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,12,8,q1_revision_surrogate,1.0,2.7983110790373757,0,,4.0,13.0,0.8133516690896893,4.0,1.330009624552724,4.0,0.5314385231783172,nan,2.0,0.19987936278838397
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::d1a417a733e08aef,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,6,8,q1_revision_surrogate,1.0,2.7976557849906385,0,,2.0,11.0,0.7730781101141059,2.0,1.344453445065927,3.0,0.3234431856799328,nan,1.0,0.1998325560707599
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::d1a417a733e08aef,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,4,8,q1_revision_surrogate,1.0,3.0343275429913774,0,,4.0,10.0,0.8070494297736949,5.0,2.158520646529245,3.0,0.19816081147386788,nan,1.0,0.21673768164224125
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::d1a417a733e08aef,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,2.812649487052113,0,,8.0,12.0,0.0,1.0,2.54626316557508,4.0,0.22086005438483566,nan,1.0,0.20090353478943662
BMA,BMA_000033,BMA_000033,0,trainval,train,gp::d1a417a733e08aef,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,3,3,q1_revision_surrogate,1.0,2.7802298149326816,0,,0.0,14.0,0.36654537164502354,10.0,0.9707767468216176,1.0,0.09634197625006591,nan,1.0,0.19858784392376297
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::d1a417a733e08aef,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,4,5,q1_revision_surrogate,1.0,3.04485761502292,0,,1.0,13.0,0.5767956871996911,3.0,1.2750328441627026,3.0,0.22281594441477504,nan,1.0,0.2174898296444943
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::d1a417a733e08aef,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,5,3,q1_revision_surrogate,1.0,2.972883843933232,0,,2.0,14.0,0.651673058042507,4.0,2.5448705440544592,2.0,0.0636524682310566,nan,1.0,0.21234884599523088
