dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,5,1,q1_revision_surrogate,1.0,0.36716451903339475,0,,4.0,7.0,0.39433475441103305,2.0,1.1440940299537672,2.0,0.05772152355216955,nan,1.0,0.040796057670377195
PBS,PBS_000010,PBS_000010,0,trainval,val,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,4,7,q1_revision_surrogate,1.0,0.36655206698924303,0,,3.0,7.0,0.1970706548595038,8.0,0.564405453716258,0.0,0.02733296342002611,nan,2.0,0.040728007443249226
PBS,PBS_000011,PBS_000011,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,8,2,q1_revision_surrogate,1.0,0.45459268894046545,0,,6.0,9.0,0.0,6.0,0.2855416158502635,0.0,0.06705207922717978,nan,1.0,0.05051029877116283
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,6,2,q1_revision_surrogate,1.0,0.7340703048976138,0,,4.0,14.0,0.7854621110691367,8.0,2.8824968859559266,0.0,0.09667363360565556,nan,4.0,0.04893802032650759
PBS,PBS_000034,PBS_000034,0,trainval,val,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.6060864119790494,0,,8.0,13.0,0.0,1.0,4.860625170082935,2.0,0.04711202706300118,nan,1.0,0.040405760798603294
PBS,PBS_000037,PBS_000037,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,0,9,q1_revision_surrogate,1.0,0.7432136429706588,0,,9.0,13.0,0.0,1.0,6.753236413258498,2.0,0.12302108691820304,nan,1.0,0.049547576198043924
PBS,PBS_000068,PBS_000068,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,6,7,q1_revision_surrogate,1.0,0.5963452470023185,0,,1.0,11.0,0.1589390928517469,12.0,0.4945484356462222,0.0,0.03403639252121908,nan,2.0,0.039756349800154564
PBS,PBS_000071,PBS_000071,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,0,11,q1_revision_surrogate,1.0,0.6123070870526135,0,,11.0,15.0,0.0,3.0,4.385818770657911,2.0,0.03975838853663024,nan,1.0,0.040820472470174236
PBS,PBS_000073,PBS_000073,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,0,10,q1_revision_surrogate,1.0,0.6772439969936386,0,,10.0,15.0,0.0,2.0,5.791891066681732,3.0,0.0751834681284848,nan,1.0,0.045149599799575904
PBS,PBS_000075,PBS_000075,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,6,8,q1_revision_surrogate,1.0,0.6869371900102124,0,,2.0,13.0,0.12988328676822425,13.0,0.4245906432085676,0.0,0.022986584991570115,nan,2.0,0.04579581266734749
