dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000011,BMA_000011,0,trainval,train,gp::019878b3f806fd08,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,3,4,q1_revision_surrogate,1.0,1.9290866339579225,0,,1.0,14.0,0.0072530514924548095,4.0,0.020223531529077278,1.0,0.08921747288895164,nan,6.0,0.13779190242556588
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::019878b3f806fd08,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,6,10,q1_revision_surrogate,1.0,1.9770353690255433,0,,4.0,14.0,0.08842011220246127,11.0,0.2230504147775575,0.0,0.07884670483037899,nan,5.0,0.1412168120732531
BMA,BMA_000022,BMA_000022,0,trainval,train,gp::019878b3f806fd08,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,6,9,q1_revision_surrogate,1.0,1.8717384949559346,0,,3.0,13.0,0.0655605337119134,12.0,0.14212479280007484,0.0,0.14963548076847033,nan,4.0,0.13369560678256676
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::019878b3f806fd08,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.8426181549439207,0,,8.0,12.0,0.0,1.0,4.675871090514897,1.0,0.09603869808217763,nan,1.0,0.13161558249599434
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::019878b3f806fd08,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.821159758954309,0,,8.0,13.0,0.0,1.0,5.595878862741245,1.0,0.18070491657571727,nan,1.0,0.13008283992530778
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::019878b3f806fd08,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,6,8,q1_revision_surrogate,1.0,1.892164630931802,0,,2.0,11.0,0.00698042379655206,13.0,0.02262176642833953,0.0,0.012331575959921228,nan,6.0,0.13515461649512872
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::019878b3f806fd08,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.9068204830400646,0,,8.0,12.0,0.0,1.0,4.007987253200448,1.0,0.06634648981102607,nan,1.0,0.13620146307429032
BMA,BMA_000033,BMA_000033,0,trainval,train,gp::019878b3f806fd08,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,3,q1_revision_surrogate,1.0,1.9343295160215348,0,,3.0,14.0,0.0,1.0,0.2996978803167983,1.0,0.060790172701867706,nan,6.0,0.1381663940015382
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::019878b3f806fd08,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,5,5,q1_revision_surrogate,1.0,1.9707449059933424,0,,0.0,14.0,0.12725991676072634,9.0,0.3676478333591453,0.0,0.06820434651955143,nan,3.0,0.14076749328523874
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::019878b3f806fd08,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,5,3,q1_revision_surrogate,1.0,2.0330988509813324,0,,2.0,14.0,0.7359381475923165,7.0,3.1841158884862106,0.0,0.0909304054274075,nan,6.0,0.1452213464986666
