dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,3,q1_revision_surrogate,1.0,1.7320318259298801,0,,3.0,14.0,0.0,1.0,1.6900171246099744,1.0,0.1460068850437611,nan,1.0,0.12371655899499144
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,1,q1_revision_surrogate,1.0,1.7399224350228906,0,,1.0,14.0,0.0,1.0,0.6433309870809617,1.0,0.16833576100951264,nan,1.0,0.12428017393020648
BMA,BMA_000016,BMA_000016,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,13,1,q1_revision_surrogate,1.0,1.7079700659960508,0,,12.0,14.0,0.0,7.0,3.497981607150322,2.0,0.2090365122545468,nan,1.0,0.12199786185686078
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,6,10,q1_revision_surrogate,1.0,1.8301636528922245,0,,4.0,14.0,0.06528827047520014,11.0,0.1639354638638737,0.0,0.09202742779050159,nan,6.0,0.13072597520658746
BMA,BMA_000020,BMA_000020,0,trainval,val,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,6,9,q1_revision_surrogate,1.0,1.7177978639956564,0,,3.0,12.0,0.033320085544748856,12.0,0.06406019096124807,0.0,0.24181289477413234,nan,6.0,0.12269984742826116
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,6,9,q1_revision_surrogate,1.0,1.8168715090723708,0,,3.0,13.0,0.05379343269361314,12.0,0.11797748173747168,0.0,0.15525857238163526,nan,6.0,0.1297765363623122
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,6,8,q1_revision_surrogate,1.0,1.7394120460376143,0,,2.0,11.0,0.006562254349827268,12.0,0.017502171068955356,0.0,0.10881435422075462,nan,6.0,0.12424371757411531
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.9458121260395274,0,,8.0,12.0,0.0,1.0,4.3981450915479705,1.0,0.08556439249947856,nan,1.0,0.1389865804313948
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.86725665605627,0,,8.0,13.0,0.0,1.0,5.5734994709746015,1.0,0.18731449999379035,nan,1.0,0.1333754754325907
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::fb2612b6881910ed,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,6,8,q1_revision_surrogate,1.0,1.940574164967984,0,,2.0,11.0,0.010806483917453202,13.0,0.036022985522313825,0.0,0.016220297395696737,nan,6.0,0.138612440354856
