dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
WBC,WBC_004336,WBC_004336,0,trainval,train,gp::52423df5d73edebd,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,1,6,q1_revision_surrogate,1.0,0.021972802933305502,0,,5.0,10.0,0.4858629435400318,6.0,1.0947883409855939,0.0,0.05139147460280269,nan,1.0,0.00219728029333055
WBC,WBC_004689,WBC_004689,0,trainval,train,gp::52423df5d73edebd,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,6,q1_revision_surrogate,1.0,0.022627808968536556,0,,6.0,10.0,0.0,6.0,0.8304097611178991,0.0,0.02384173965774999,nan,1.0,0.0022627808968536554
WBC,WBC_008853,WBC_008853,0,trainval,train,gp::52423df5d73edebd,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,2,5,q1_revision_surrogate,1.0,0.02361751499120146,0,,3.0,10.0,0.4741886368210054,5.0,1.0176376024651537,0.0,0.05255452962624135,nan,2.0,0.002361751499120146
WBC,WBC_010810,WBC_010810,0,trainval,train,gp::52423df5d73edebd,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,6,q1_revision_surrogate,1.0,0.02017829893156886,0,,6.0,10.0,0.0,6.0,0.34043206025738026,0.0,0.037918660427886525,nan,1.0,0.002017829893156886
WBC,WBC_011919,WBC_011919,0,trainval,train,gp::52423df5d73edebd,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,5,q1_revision_surrogate,1.0,0.021906452951952815,0,,5.0,10.0,0.0,5.0,0.4594029377603358,0.0,0.01674199024565157,nan,1.0,0.0021906452951952816
WBC,WBC_016626,WBC_016626,0,trainval,val,gp::52423df5d73edebd,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,1,5,q1_revision_surrogate,1.0,0.024544168962165713,0,,4.0,10.0,0.04523344504149396,5.0,0.08397022149847518,0.0,0.036896236852575405,nan,3.0,0.0024544168962165715
WBC,WBC_021307,WBC_021307,0,trainval,train,gp::52423df5d73edebd,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,5,q1_revision_surrogate,1.0,0.023060380946844816,0,,5.0,10.0,0.0,5.0,0.0936845139118949,0.0,0.04062938781761691,nan,3.0,0.0023060380946844814
WBC,WBC_022038,WBC_022038,0,trainval,train,gp::52423df5d73edebd,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,6,q1_revision_surrogate,1.0,0.024353603017516434,0,,6.0,10.0,0.0,6.0,0.18724864917496561,0.0,0.02731149704480789,nan,2.0,0.0024353603017516433
WBC,WBC_025178,WBC_025178,0,trainval,train,gp::52423df5d73edebd,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,9,5,q1_revision_surrogate,1.0,0.023316891980357468,0,,4.0,10.0,0.0,4.0,1.4906240718468762,0.0,0.009703819057335245,nan,1.0,0.0023316891980357467
WBC,WBC_025586,WBC_025586,0,trainval,train,gp::52423df5d73edebd,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,9,5,q1_revision_surrogate,1.0,0.025706698070280254,0,,4.0,10.0,0.0,4.0,0.9317712994436049,0.0,0.041019727424188496,nan,1.0,0.0025706698070280254
