dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000000,PBS_000000,0,trainval,train,gp::a2da6c83ee0276ea,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,2,4,q1_revision_surrogate,1.0,6.6676781430142,0,,2.0,5.0,0.8440780463800708,3.0,2.380139723931205,1.0,0.22924661927837006,nan,1.0,0.7408531270015778
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::a2da6c83ee0276ea,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,5,1,q1_revision_surrogate,1.0,5.835286625078879,0,,4.0,9.0,0.3000210845204695,5.0,0.5640022877160491,1.0,0.24937589972258564,nan,1.0,0.6483651805643199
PBS,PBS_000020,PBS_000020,0,trainval,train,gp::a2da6c83ee0276ea,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,3,q1_revision_surrogate,1.0,13.70356727798935,0,,3.0,14.0,0.6225158170405793,9.0,1.9702947657559615,0.0,0.07360776595093357,nan,4.0,0.9135711518659567
PBS,PBS_000021,PBS_000021,0,trainval,train,gp::a2da6c83ee0276ea,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,1,1,q1_revision_surrogate,1.0,3.985659249010496,0,,0.0,8.0,0.9020826280030634,3.0,1.4725497388771291,2.0,0.3992373147086469,nan,1.0,0.44285102766783285
PBS,PBS_000022,PBS_000022,0,trainval,train,gp::a2da6c83ee0276ea,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,3,6,q1_revision_surrogate,1.0,6.622005200013518,0,,3.0,1.0,1.3738589373573877,4.0,3.356447248856463,1.0,0.40028276447355904,nan,1.0,0.7357783555570576
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::a2da6c83ee0276ea,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,2,q1_revision_surrogate,1.0,8.729901202954352,0,,4.0,5.0,0.819885206802773,9.0,3.4570525839384048,1.0,0.08467979178564347,nan,1.0,0.5819934135302901
PBS,PBS_000038,PBS_000038,0,trainval,train,gp::a2da6c83ee0276ea,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,3,q1_revision_surrogate,1.0,12.914415598032065,0,,3.0,14.0,0.7078677748239384,9.0,2.669772352127415,0.0,0.07457175083192294,nan,2.0,0.8609610398688043
PBS,PBS_000049,PBS_000049,0,trainval,train,gp::a2da6c83ee0276ea,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,1,q1_revision_surrogate,1.0,10.947945878957398,0,,5.0,5.0,1.0989266860660796,7.0,5.395076540008145,0.0,0.18152869645918837,nan,1.0,0.7298630585971598
PBS,PBS_000063,PBS_000063,0,trainval,train,gp::a2da6c83ee0276ea,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,3,q1_revision_surrogate,1.0,18.72851233300753,0,,3.0,5.0,0.6879672239580003,8.0,3.2013375601888034,1.0,0.08255275477041399,nan,2.0,1.2485674888671687
PBS,PBS_000076,PBS_000076,0,trainval,val,gp::a2da6c83ee0276ea,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,8,8,q1_revision_surrogate,1.0,10.615395728033036,0,,0.0,14.0,0.6572125504792707,4.0,1.3020746179882545,2.0,0.1835385066413139,nan,1.0,0.7076930485355357
