dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
WBC,WBC_004336,WBC_004336,0,trainval,train,gp::9bbc227e67df5810,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,9,6,q1_revision_surrogate,1.0,0.03112538089044392,0,,3.0,10.0,0.0,8.0,0.15878281891422164,0.0,0.10375432032495528,nan,2.0,0.0031125380890443923
WBC,WBC_004689,WBC_004689,0,trainval,train,gp::9bbc227e67df5810,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,8,6,q1_revision_surrogate,1.0,0.03003777493722737,0,,2.0,10.0,0.3984651254205902,4.0,0.9022958650361708,1.0,0.08940069107099485,nan,2.0,0.0030037774937227367
WBC,WBC_008853,WBC_008853,0,trainval,train,gp::9bbc227e67df5810,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,9,5,q1_revision_surrogate,1.0,0.0328543659998104,0,,4.0,6.0,0.0,3.0,1.7182851301994402,1.0,0.022390527806828382,nan,1.0,0.0032854365999810398
WBC,WBC_010810,WBC_010810,0,trainval,train,gp::9bbc227e67df5810,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,9,6,q1_revision_surrogate,1.0,0.02938350406475365,0,,3.0,9.0,0.0,3.0,0.3654058953331679,2.0,0.2591619729175282,nan,1.0,0.0029383504064753652
WBC,WBC_011919,WBC_011919,0,trainval,train,gp::9bbc227e67df5810,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,9,5,q1_revision_surrogate,1.0,0.032904120977036655,0,,4.0,5.0,0.0,6.0,0.5732036171817907,1.0,0.041979470996323584,nan,1.0,0.0032904120977036654
WBC,WBC_016626,WBC_016626,0,trainval,val,gp::9bbc227e67df5810,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,5,q1_revision_surrogate,1.0,0.0315409010509029,0,,5.0,4.0,0.0,2.0,0.10360688125543853,1.0,0.23533298500220565,nan,2.0,0.0031540901050902902
WBC,WBC_021307,WBC_021307,0,trainval,train,gp::9bbc227e67df5810,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,9,5,q1_revision_surrogate,1.0,0.033481054939329624,0,,4.0,6.0,0.0,3.0,0.8316761550058369,1.0,0.021171362408122996,nan,1.0,0.0033481054939329623
WBC,WBC_022038,WBC_022038,0,trainval,train,gp::9bbc227e67df5810,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,9,6,q1_revision_surrogate,1.0,0.03167014999780804,0,,3.0,4.0,0.0,5.0,0.9312700601632463,2.0,0.017010551611784924,nan,1.0,0.003167014999780804
WBC,WBC_025178,WBC_025178,0,trainval,train,gp::9bbc227e67df5810,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,9,5,q1_revision_surrogate,1.0,0.030056870076805353,0,,4.0,2.0,0.0,2.0,3.084843371114136,2.0,0.06835663243082403,nan,1.0,0.0030056870076805354
WBC,WBC_025586,WBC_025586,0,trainval,train,gp::9bbc227e67df5810,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,3,5,q1_revision_surrogate,1.0,0.03257137001492083,0,,2.0,8.0,1.0424016880650473,7.0,2.3530103776002087,0.0,0.2920401595378175,nan,1.0,0.003257137001492083
