dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::95b94356087fce1e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,7,3,q1_revision_surrogate,1.0,5.771764083066955,0,,4.0,5.0,0.2908897829616469,8.0,0.7938567607917145,1.0,0.12717863641076707,nan,2.0,0.4122688630762111
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::95b94356087fce1e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,9,1,q1_revision_surrogate,1.0,6.077925949008204,0,,8.0,7.0,0.3507327459309868,3.0,0.9772291698553861,4.0,0.12717093808947053,nan,1.0,0.4341375677863003
BMA,BMA_000016,BMA_000016,0,trainval,train,gp::95b94356087fce1e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,8,1,q1_revision_surrogate,1.0,5.917746621067636,0,,7.0,13.0,0.0998409361123157,4.0,0.23060933997677271,2.0,0.15848389880697047,nan,2.0,0.42269618721911684
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::95b94356087fce1e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,1,10,q1_revision_surrogate,1.0,5.962435805005953,0,,9.0,13.0,0.8669018005844685,6.0,2.2529024510554687,1.0,0.11016020362680058,nan,2.0,0.42588827178613947
BMA,BMA_000020,BMA_000020,0,trainval,val,gp::95b94356087fce1e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,12,9,q1_revision_surrogate,1.0,5.739287257078104,0,,3.0,13.0,0.2780952953349264,2.0,0.5359564417865023,3.0,0.21120022637204242,nan,1.0,0.40994908979129313
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::95b94356087fce1e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,1,9,q1_revision_surrogate,1.0,5.942575318040326,0,,8.0,13.0,0.7807682149875614,4.0,1.767518816831509,2.0,0.170256176959228,nan,2.0,0.42446966557430904
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::95b94356087fce1e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,10,8,q1_revision_surrogate,1.0,5.864784774952568,0,,2.0,14.0,0.17054348210074632,5.0,0.34416983735680157,2.0,0.24264695357007438,nan,3.0,0.41891319821089773
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::95b94356087fce1e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,11,8,q1_revision_surrogate,1.0,5.86607913102489,0,,3.0,13.0,0.4839113643791102,7.0,1.115115091937586,2.0,0.18262282779751451,nan,1.0,0.41900565221606356
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::95b94356087fce1e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,1,8,q1_revision_surrogate,1.0,5.934940175968222,0,,7.0,13.0,1.1876882724538413,6.0,4.0945735374894925,1.0,0.14961207510045654,nan,1.0,0.42392429828344447
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::95b94356087fce1e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,0,8,q1_revision_surrogate,1.0,5.891066937008873,0,,8.0,14.0,0.0,3.0,0.24007444660925165,2.0,0.16303634073611412,nan,1.0,0.42079049550063374
