dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000000,PBS_000000,0,trainval,train,gp::8de9a1964e995e90,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,4,q1_revision_surrogate,1.0,9.647715322906151,0,,4.0,4.0,0.0,1.0,0.6885660390776757,3.0,0.25395639179257345,nan,1.0,1.0719683692117945
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::8de9a1964e995e90,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,5,1,q1_revision_surrogate,1.0,8.364518422982655,0,,4.0,7.0,0.31141335937981707,6.0,1.0497084558678769,1.0,0.03374237585359944,nan,1.0,0.9293909358869618
PBS,PBS_000020,PBS_000020,0,trainval,train,gp::8de9a1964e995e90,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,3,3,q1_revision_surrogate,1.0,16.09521320706699,0,,0.0,14.0,0.2982809036491293,4.0,0.8322279388560998,1.0,0.07997714175612657,nan,1.0,1.073014213804466
PBS,PBS_000021,PBS_000021,0,trainval,train,gp::8de9a1964e995e90,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,2,1,q1_revision_surrogate,1.0,7.919449817971326,0,,1.0,4.0,1.0199562648323588,2.0,2.2462514155838176,1.0,0.36259409861769193,nan,1.0,0.8799388686634807
PBS,PBS_000022,PBS_000022,0,trainval,train,gp::8de9a1964e995e90,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,2,6,q1_revision_surrogate,1.0,9.611474644043483,0,,4.0,6.0,0.41141171737679993,6.0,0.8071591414070685,1.0,0.19009288348702397,nan,1.0,1.0679416271159425
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::8de9a1964e995e90,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,3,2,q1_revision_surrogate,1.0,15.994901127996854,0,,1.0,15.0,0.03270466600612387,8.0,0.0861918976826775,0.0,0.07792471269159146,nan,5.0,1.066326741866457
PBS,PBS_000038,PBS_000038,0,trainval,train,gp::8de9a1964e995e90,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,14,3,q1_revision_surrogate,1.0,16.299528555944562,0,,11.0,15.0,0.0,2.0,0.6819432678036746,4.0,0.10820754764191547,nan,1.0,1.0866352370629708
PBS,PBS_000049,PBS_000049,0,trainval,train,gp::8de9a1964e995e90,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,10,1,q1_revision_surrogate,1.0,14.852042510989122,0,,9.0,15.0,0.5140098138971455,6.0,1.8256346776023156,1.0,0.07153443986536324,nan,1.0,0.9901361673992748
PBS,PBS_000063,PBS_000063,0,trainval,train,gp::8de9a1964e995e90,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,3,q1_revision_surrogate,1.0,14.570817745989189,0,,3.0,15.0,0.0,4.0,0.9590434562281845,3.0,0.24006364835569136,nan,1.0,0.9713878497326126
PBS,PBS_000076,PBS_000076,0,trainval,val,gp::8de9a1964e995e90,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,11,8,q1_revision_surrogate,1.0,15.984189238981344,0,,3.0,13.0,0.11069173517911446,4.0,0.2777069381738496,3.0,0.18271660465986253,nan,2.0,1.0656126159320896
