dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000001,BMA_000001,0,trainval,train,gp::ade46a370df9c70c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,11,7,q1_revision_surrogate,1.0,4.9119711719686165,0,,4.0,4.0,0.42420853727439556,3.0,1.152733072957278,4.0,0.12453385822222303,nan,1.0,0.35085508371204405
BMA,BMA_000005,BMA_000005,0,trainval,train,gp::ade46a370df9c70c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,10,1,q1_revision_surrogate,1.0,4.857808909961022,0,,9.0,12.0,0.5190785661327233,3.0,0.8637314411733304,2.0,0.43630785906781827,nan,1.0,0.3469863507115016
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::ade46a370df9c70c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,3,q1_revision_surrogate,1.0,4.9931554679060355,0,,3.0,8.0,0.6138270515191866,9.0,2.257059612870028,1.0,0.08728746327831947,nan,1.0,0.35665396199328825
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::ade46a370df9c70c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,1,9,q1_revision_surrogate,1.0,5.035122247994877,0,,8.0,13.0,0.5937987899405471,6.0,1.4168539230554442,1.0,0.1128473702549791,nan,1.0,0.35965158914249123
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::ade46a370df9c70c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,1,8,q1_revision_surrogate,1.0,4.880574273061939,0,,7.0,13.0,1.715803347256072,5.0,5.910777746604916,3.0,0.34332817479909333,nan,1.0,0.34861244807585273
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::ade46a370df9c70c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,11,8,q1_revision_surrogate,1.0,5.096940796007402,0,,3.0,13.0,0.5310879611897934,3.0,1.2186815037629555,3.0,0.2733594903533177,nan,3.0,0.36406719971481444
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::ade46a370df9c70c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,1,8,q1_revision_surrogate,1.0,5.652501401025802,0,,7.0,13.0,1.2818750584662577,5.0,4.450484466520967,2.0,0.1805216661002352,nan,1.0,0.40375010007327156
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::ade46a370df9c70c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,8,5,q1_revision_surrogate,1.0,5.271448225015774,0,,3.0,6.0,0.17225136170034583,5.0,0.3460370960663062,3.0,0.30121813124002084,nan,1.0,0.3765320160725553
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::ade46a370df9c70c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,7,3,q1_revision_surrogate,1.0,5.016043056035414,0,,4.0,4.0,0.3053288697474016,6.0,0.8429545861158684,3.0,0.06502510649530864,nan,2.0,0.3582887897168153
BMA,BMA_000037,BMA_000037,0,trainval,train,gp::ade46a370df9c70c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,9,3,q1_revision_surrogate,1.0,4.888549883966334,0,,6.0,4.0,0.8506657201346,3.0,2.2240485950449407,4.0,0.24611798345140815,nan,1.0,0.34918213456902386
