dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
TBI,TBI_000001,TBI_000001,0,trainval,train,gp::98b13781211b92a3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,4,6,q1_revision_surrogate,1.0,4.854813128011301,0,,2.0,10.0,0.08493591035782133,3.0,0.1489328611435043,1.0,0.27914665334094907,nan,4.0,0.4854813128011301
TBI,TBI_000007,TBI_000007,0,trainval,val,gp::98b13781211b92a3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,0,5,q1_revision_surrogate,1.0,4.64515068300534,0,,5.0,10.0,0.0,2.0,0.20030747636366522,1.0,0.22888241482865887,nan,1.0,0.464515068300534
TBI,TBI_000009,TBI_000009,0,trainval,train,gp::98b13781211b92a3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,2,5,q1_revision_surrogate,1.0,4.796729392954148,0,,3.0,10.0,0.43951380733398115,5.0,0.8810404790509105,1.0,0.2401210522708968,nan,1.0,0.4796729392954148
TBI,TBI_000014,TBI_000014,0,trainval,train,gp::98b13781211b92a3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,9,5,q1_revision_surrogate,1.0,4.806143505964428,0,,4.0,10.0,0.0,3.0,1.2238827938919312,2.0,0.4967465806015898,nan,1.0,0.4806143505964428
TBI,TBI_000015,TBI_000015,0,trainval,val,gp::98b13781211b92a3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,0,5,q1_revision_surrogate,1.0,4.780985234072432,0,,5.0,10.0,0.0,6.0,0.19474522377720616,0.0,0.15448504433813767,nan,2.0,0.4780985234072432
TBI,TBI_000017,TBI_000017,0,trainval,train,gp::98b13781211b92a3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,8,5,q1_revision_surrogate,1.0,5.079916488029994,0,,3.0,10.0,0.35815170912483474,3.0,0.6705143771323695,1.0,0.30113615095862345,nan,1.0,0.5079916488029994
TBI,TBI_000019,TBI_000019,0,trainval,train,gp::98b13781211b92a3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,1,5,q1_revision_surrogate,1.0,4.825221691979095,0,,4.0,10.0,0.21012416427889213,6.0,0.3953263623137999,0.0,0.1628184783943821,nan,1.0,0.4825221691979095
TBI,TBI_000020,TBI_000020,0,trainval,train,gp::98b13781211b92a3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,4,5,q1_revision_surrogate,1.0,4.782647142070346,0,,1.0,10.0,0.2317868266547758,5.0,0.3594453009223858,1.0,0.4960852076122034,nan,1.0,0.47826471420703454
TBI,TBI_000026,TBI_000026,0,trainval,train,gp::98b13781211b92a3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,8,5,q1_revision_surrogate,1.0,4.79701016494073,0,,3.0,10.0,0.26646442138609594,3.0,0.45748506936742467,1.0,0.6027292039817335,nan,1.0,0.479701016494073
TBI,TBI_000027,TBI_000027,0,trainval,train,gp::98b13781211b92a3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,8,5,q1_revision_surrogate,1.0,4.832390856929123,0,,3.0,10.0,0.26723911813023726,3.0,0.478883413483609,1.0,0.30586591261925694,nan,1.0,0.48323908569291235
