dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
WBC,WBC_004336,WBC_004336,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,1,6,q1_revision_surrogate,1.0,0.015102097997441888,0,,5.0,3.0,0.8009391241888931,6.0,2.2897319181088465,0.0,0.09417533526840383,nan,1.0,0.0015102097997441888
WBC,WBC_004689,WBC_004689,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,6,q1_revision_surrogate,1.0,0.01599448500201106,0,,6.0,10.0,0.0,6.0,1.0110099585007166,0.0,0.03494486523886835,nan,1.0,0.001599448500201106
WBC,WBC_008853,WBC_008853,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,2,5,q1_revision_surrogate,1.0,0.016152256983332336,0,,3.0,10.0,0.5154470101194096,5.0,1.2440577207953658,0.0,0.052664940176834894,nan,1.0,0.0016152256983332336
WBC,WBC_010810,WBC_010810,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,6,q1_revision_surrogate,1.0,0.014516084920614958,0,,6.0,10.0,0.0,2.0,0.4690745402740388,1.0,0.05058548114783873,nan,1.0,0.0014516084920614958
WBC,WBC_011919,WBC_011919,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,5,q1_revision_surrogate,1.0,0.015374278067611158,0,,5.0,10.0,0.0,5.0,0.23743125752758032,0.0,0.015496862476851711,nan,2.0,0.0015374278067611159
WBC,WBC_016626,WBC_016626,0,trainval,val,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,9,5,q1_revision_surrogate,1.0,0.01310743298381567,0,,4.0,10.0,0.0,4.0,1.154514562240265,1.0,0.03637173751199001,nan,1.0,0.001310743298381567
WBC,WBC_021307,WBC_021307,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,2,5,q1_revision_surrogate,1.0,0.015382381970994174,0,,3.0,10.0,0.24251408754321302,5.0,0.482985676578797,0.0,0.04594187892398431,nan,1.0,0.0015382381970994174
WBC,WBC_022038,WBC_022038,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,6,q1_revision_surrogate,1.0,0.014670609030872583,0,,6.0,10.0,0.0,6.0,0.1881889284199676,0.0,0.029677814292771595,nan,2.0,0.0014670609030872583
WBC,WBC_025178,WBC_025178,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,5,q1_revision_surrogate,1.0,0.016369916032999754,0,,5.0,10.0,0.0,6.0,0.8957236084574007,0.0,0.0073801609463432375,nan,1.0,0.0016369916032999755
WBC,WBC_025586,WBC_025586,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,9,5,q1_revision_surrogate,1.0,0.015512765035964549,0,,4.0,10.0,0.0,4.0,0.9220894277212998,0.0,0.03856175740803239,nan,1.0,0.0015512765035964548
