dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000001,BMA_000001,0,trainval,train,gp::2284a5adf84d2df5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,7,q1_revision_surrogate,1.0,2.3039226960390806,0,,7.0,11.0,0.0,1.0,3.051276625768666,1.0,0.05848274311634455,nan,1.0,0.16456590685993433
BMA,BMA_000005,BMA_000005,0,trainval,train,gp::2284a5adf84d2df5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,5,1,q1_revision_surrogate,1.0,2.355383322923444,0,,4.0,14.0,1.0458390259778314,5.0,5.297393376699601,0.0,0.18380026344824504,nan,2.0,0.16824166592310316
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::2284a5adf84d2df5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,3,q1_revision_surrogate,1.0,2.337815431994386,0,,3.0,14.0,0.0,1.0,2.3865449517839683,1.0,0.16444878831553492,nan,1.0,0.16698681657102757
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::2284a5adf84d2df5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,6,9,q1_revision_surrogate,1.0,2.313363499008119,0,,3.0,13.0,0.18007375231821332,12.0,0.40363244732116815,0.0,0.12133994568719526,nan,3.0,0.16524024992915137
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::2284a5adf84d2df5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,2.3361938670277596,0,,8.0,12.0,0.0,1.0,5.257196170377152,1.0,0.10390412181822495,nan,1.0,0.1668709905019828
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::2284a5adf84d2df5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,2.3429725960595533,0,,8.0,12.0,0.0,1.0,5.796913879094869,1.0,0.16282792666914334,nan,1.0,0.16735518543282524
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::2284a5adf84d2df5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,2.0931854910450056,0,,8.0,12.0,0.0,1.0,5.820100546065648,1.0,0.15525700185460653,nan,1.0,0.14951324936035754
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::2284a5adf84d2df5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,5,5,q1_revision_surrogate,1.0,2.346551752067171,0,,0.0,14.0,0.22125304220221165,9.0,0.6650000209629993,0.0,0.0454421006716311,nan,2.0,0.16761083943336935
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::2284a5adf84d2df5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,5,3,q1_revision_surrogate,1.0,2.478908207034692,0,,2.0,14.0,0.8081614882049969,7.0,3.631484901824412,0.0,0.09881410994015614,nan,3.0,0.17706487193104944
BMA,BMA_000037,BMA_000037,0,trainval,train,gp::2284a5adf84d2df5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,5,3,q1_revision_surrogate,1.0,2.3609245639527217,0,,2.0,14.0,0.6703847053707681,7.0,2.7878442409867104,0.0,0.07049096447551663,nan,3.0,0.16863746885376582
