dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
TBI,TBI_000001,TBI_000001,0,trainval,train,gp::3546d83e95acfa6a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,9,6,q1_revision_surrogate,1.0,2.031431876006536,0,,3.0,9.0,0.0,1.0,1.2512516702322862,3.0,0.6659470274760964,nan,1.0,0.2031431876006536
TBI,TBI_000007,TBI_000007,0,trainval,val,gp::3546d83e95acfa6a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,9,5,q1_revision_surrogate,1.0,2.074191033025272,0,,4.0,10.0,0.0,2.0,1.5527205790703578,2.0,0.2811528600696471,nan,1.0,0.20741910330252722
TBI,TBI_000009,TBI_000009,0,trainval,train,gp::3546d83e95acfa6a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,8,5,q1_revision_surrogate,1.0,2.059937268961221,0,,3.0,8.0,0.7205692276369137,2.0,0.9874943344686092,2.0,0.7662295498560606,nan,1.0,0.2059937268961221
TBI,TBI_000014,TBI_000014,0,trainval,train,gp::3546d83e95acfa6a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,5,q1_revision_surrogate,1.0,2.0151778910076246,0,,1.0,7.0,0.972659865017657,3.0,1.6055515311803121,2.0,0.5018057428915456,nan,1.0,0.20151778910076246
TBI,TBI_000015,TBI_000015,0,trainval,val,gp::3546d83e95acfa6a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,8,5,q1_revision_surrogate,1.0,2.0970598560525104,0,,3.0,10.0,1.0260693459760635,4.0,1.5007396359386884,1.0,0.48522508658593266,nan,1.0,0.20970598560525106
TBI,TBI_000017,TBI_000017,0,trainval,train,gp::3546d83e95acfa6a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,7,5,q1_revision_surrogate,1.0,2.017679375014268,0,,2.0,8.0,1.6383202916719215,2.0,2.836354627899563,2.0,0.830889208483048,nan,1.0,0.2017679375014268
TBI,TBI_000019,TBI_000019,0,trainval,train,gp::3546d83e95acfa6a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,5,q1_revision_surrogate,1.0,2.0406542980344966,0,,1.0,1.0,1.778160630088916,3.0,6.2384140820458835,2.0,0.7323026671987606,nan,1.0,0.20406542980344966
TBI,TBI_000020,TBI_000020,0,trainval,train,gp::3546d83e95acfa6a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,1,5,q1_revision_surrogate,1.0,2.078068809933029,0,,4.0,10.0,0.6427558864123836,3.0,0.8124477626549371,2.0,0.5426907664659342,nan,1.0,0.2078068809933029
TBI,TBI_000026,TBI_000026,0,trainval,train,gp::3546d83e95acfa6a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,4,5,q1_revision_surrogate,1.0,2.098735300009139,0,,1.0,5.0,1.2517943964893066,2.0,1.647923356355646,3.0,0.9546606321364353,nan,1.0,0.20987353000091388
TBI,TBI_000027,TBI_000027,0,trainval,train,gp::3546d83e95acfa6a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,5,5,q1_revision_surrogate,1.0,2.0976922899717465,0,,0.0,8.0,1.7780270672140235,3.0,2.1729769237738834,3.0,1.171258771244128,nan,1.0,0.20976922899717465
