dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
TBI,TBI_000001,TBI_000001,0,trainval,train,gp::352ce1046cdee067,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,7,6,q1_revision_surrogate,1.0,5.374187114997767,0,,1.0,10.0,0.5737083653161649,3.0,0.9965021851549687,2.0,0.3846279822774611,nan,1.0,0.5374187114997767
TBI,TBI_000007,TBI_000007,0,trainval,val,gp::352ce1046cdee067,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,8,5,q1_revision_surrogate,1.0,5.475470077013597,0,,3.0,10.0,0.3861012479440261,3.0,0.48631921135829065,3.0,0.7664728182428491,nan,1.0,0.5475470077013597
TBI,TBI_000009,TBI_000009,0,trainval,train,gp::352ce1046cdee067,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,2,5,q1_revision_surrogate,1.0,5.366849023033865,0,,3.0,10.0,0.927245545378792,3.0,0.9946443101924272,2.0,0.9167516026008962,nan,1.0,0.5366849023033865
TBI,TBI_000014,TBI_000014,0,trainval,train,gp::352ce1046cdee067,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,6,5,q1_revision_surrogate,1.0,5.387918710941449,0,,1.0,10.0,0.6589673686189647,4.0,1.0634373660318461,2.0,0.40780636635497336,nan,1.0,0.5387918710941448
TBI,TBI_000015,TBI_000015,0,trainval,val,gp::352ce1046cdee067,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,8,5,q1_revision_surrogate,1.0,5.340440114028752,0,,3.0,1.0,1.9257409401386054,2.0,5.078241149187726,2.0,0.6953218426561657,nan,1.0,0.5340440114028752
TBI,TBI_000017,TBI_000017,0,trainval,train,gp::352ce1046cdee067,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,1,5,q1_revision_surrogate,1.0,5.382595028961077,0,,4.0,10.0,0.6694021622912621,5.0,1.141150997661964,1.0,0.42907536272243496,nan,1.0,0.5382595028961077
TBI,TBI_000019,TBI_000019,0,trainval,train,gp::352ce1046cdee067,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,1,5,q1_revision_surrogate,1.0,5.283444092026912,0,,4.0,7.0,2.0,2.0,4.111066149969219,2.0,0.8575107474189775,nan,1.0,0.5283444092026912
TBI,TBI_000020,TBI_000020,0,trainval,train,gp::352ce1046cdee067,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,2,5,q1_revision_surrogate,1.0,5.851075279060751,0,,3.0,7.0,1.0314026565409868,3.0,2.8107465168980075,1.0,0.3692888041589556,nan,1.0,0.5851075279060751
TBI,TBI_000026,TBI_000026,0,trainval,train,gp::352ce1046cdee067,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,2,5,q1_revision_surrogate,1.0,5.439256620942615,0,,3.0,10.0,1.587351331500852,3.0,3.9174002253742963,2.0,0.7413877837666741,nan,1.0,0.5439256620942615
TBI,TBI_000027,TBI_000027,0,trainval,train,gp::352ce1046cdee067,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,7,5,q1_revision_surrogate,1.0,5.405328033026308,0,,2.0,10.0,1.5128004243772466,2.0,1.5285603623521875,2.0,1.2080091133909918,nan,1.0,0.5405328033026308
