dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000004,BMA_000004,0,trainval,val,gp::c13f93d4ec7f9d0c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,4,7,q1_revision_surrogate,1.0,9.043144406983629,0,,3.0,12.0,0.02965225332015775,4.0,0.10277964988932532,1.0,0.09480031755895153,nan,8.0,0.6459388862131163
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::c13f93d4ec7f9d0c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,3,q1_revision_surrogate,1.0,9.008331298013218,0,,3.0,14.0,0.0,2.0,0.09055451670029982,1.0,0.12035551125316606,nan,6.0,0.6434522355723727
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::c13f93d4ec7f9d0c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,1,1,q1_revision_surrogate,1.0,8.773941488936543,0,,0.0,14.0,0.0629603551234984,7.0,0.1752322073270575,0.0,0.14979969340472252,nan,5.0,0.6267101063526103
BMA,BMA_000014,BMA_000014,0,trainval,train,gp::c13f93d4ec7f9d0c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,13,5,q1_revision_surrogate,1.0,8.99019717797637,0,,8.0,14.0,0.0,3.0,0.5330710222990341,1.0,0.0855809902411488,nan,1.0,0.6421569412840265
BMA,BMA_000017,BMA_000017,0,trainval,train,gp::c13f93d4ec7f9d0c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,5,9,q1_revision_surrogate,1.0,9.012587629025802,0,,4.0,13.0,0.04376819297124512,5.0,0.0884089443972843,1.0,0.24065096510047523,nan,8.0,0.6437562592161287
BMA,BMA_000018,BMA_000018,0,trainval,val,gp::c13f93d4ec7f9d0c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,10,q1_revision_surrogate,1.0,9.125405487022363,0,,10.0,14.0,0.0,2.0,5.161286925860355,2.0,0.10793488152187918,nan,1.0,0.6518146776444544
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::c13f93d4ec7f9d0c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,4,8,q1_revision_surrogate,1.0,9.184373955940828,0,,4.0,11.0,0.03549453872520303,5.0,0.09198703323234082,1.0,0.1352480587285788,nan,8.0,0.6560267111386305
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::c13f93d4ec7f9d0c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,4,8,q1_revision_surrogate,1.0,9.303864534012973,0,,4.0,13.0,0.046128205755443186,5.0,0.09638666285453491,2.0,0.21044316743696376,nan,8.0,0.6645617524294981
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::c13f93d4ec7f9d0c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,1,5,q1_revision_surrogate,1.0,8.538300385931507,0,,4.0,14.0,0.03638928469990743,2.0,0.10137778124754664,1.0,0.09605628174561624,nan,7.0,0.6098785989951077
BMA,BMA_000037,BMA_000037,0,trainval,train,gp::c13f93d4ec7f9d0c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,12,3,q1_revision_surrogate,1.0,8.673845489043742,0,,9.0,14.0,0.030712195910364115,5.0,0.08521920893117925,1.0,0.057379365367800854,nan,3.0,0.619560392074553
PBS,PBS_000000,PBS_000000,0,trainval,train,gp::c13f93d4ec7f9d0c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,4,q1_revision_surrogate,1.0,5.8392460270551965,0,,4.0,6.0,0.0,1.0,1.1385212874824227,3.0,0.1781375915225376,nan,1.0,0.6488051141172441
