dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::0b0243cbc3e12ed7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,8,3,q1_revision_surrogate,1.0,1.4652726169442758,0,,5.0,13.0,0.34690214024365196,3.0,0.559077025201987,4.0,0.2761693315634175,nan,1.0,0.10466232978173398
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::0b0243cbc3e12ed7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,8,1,q1_revision_surrogate,1.0,1.4550566779216751,0,,7.0,13.0,0.3076243910204033,4.0,0.6094096993034541,3.0,0.22893458431931882,nan,1.0,0.10393261985154822
BMA,BMA_000016,BMA_000016,0,trainval,train,gp::0b0243cbc3e12ed7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,9,1,q1_revision_surrogate,1.0,1.3802448629867285,0,,8.0,13.0,0.10280255939177696,6.0,0.3064203201327044,2.0,0.11984377711998129,nan,4.0,0.09858891878476632
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::0b0243cbc3e12ed7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,2,10,q1_revision_surrogate,1.0,1.421032764017582,0,,8.0,10.0,1.401178015347564,3.0,2.932342575684566,3.0,0.5108232014978897,nan,1.0,0.10150234028697014
BMA,BMA_000020,BMA_000020,0,trainval,val,gp::0b0243cbc3e12ed7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,13,9,q1_revision_surrogate,1.0,1.387398389982991,0,,4.0,13.0,0.0,2.0,1.60406480789279,5.0,0.2846349469748262,nan,1.0,0.09909988499878507
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::0b0243cbc3e12ed7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,1,9,q1_revision_surrogate,1.0,1.3716994940768927,0,,8.0,13.0,1.7717158808596305,2.0,3.258328860318124,3.0,0.6032580814882862,nan,1.0,0.09797853529120662
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::0b0243cbc3e12ed7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,8,8,q1_revision_surrogate,1.0,1.359635638887994,0,,0.0,14.0,0.7685538581998781,3.0,1.2413410587069265,3.0,0.43428080097012134,nan,1.0,0.09711683134914242
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::0b0243cbc3e12ed7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,13,8,q1_revision_surrogate,1.0,1.4303722819313407,0,,5.0,12.0,0.0,2.0,4.407242517435574,4.0,0.2349993112229165,nan,1.0,0.10216944870938148
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::0b0243cbc3e12ed7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,13,8,q1_revision_surrogate,1.0,1.3439318269956857,0,,5.0,14.0,0.0,1.0,2.01466326054669,4.0,0.6539470006203346,nan,1.0,0.09599513049969184
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::0b0243cbc3e12ed7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,10,8,q1_revision_surrogate,1.0,1.5380365350283682,0,,2.0,1.0,1.26821950932653,5.0,3.698970606533758,3.0,0.2731341663840626,nan,1.0,0.1098597525020263
