dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::19aeb20f1a385bd4,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,1,q1_revision_surrogate,1.0,1.3489784840494394,0,,1.0,14.0,0.0,1.0,0.9246081406554029,1.0,0.16988855991457127,nan,1.0,0.0963556060035314
BMA,BMA_000014,BMA_000014,0,trainval,train,gp::19aeb20f1a385bd4,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,5,q1_revision_surrogate,1.0,1.3241211969871074,0,,5.0,14.0,0.0,1.0,0.9730384544329816,1.0,0.04265536698859412,nan,1.0,0.0945800854990791
BMA,BMA_000017,BMA_000017,0,trainval,train,gp::19aeb20f1a385bd4,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,9,q1_revision_surrogate,1.0,1.1591381549369544,0,,3.0,13.0,0.12870264945817145,12.0,0.27356324748240074,0.0,0.14943335950372627,nan,3.0,0.08279558249549675
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::19aeb20f1a385bd4,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.1722882580943406,0,,8.0,12.0,0.0,1.0,5.773667824606515,1.0,0.16271399800537698,nan,1.0,0.08373487557816718
BMA,BMA_000027,BMA_000027,0,trainval,train,gp::19aeb20f1a385bd4,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.0947539129992947,0,,8.0,12.0,0.0,1.0,6.197768312222115,1.0,0.17543205941721055,nan,1.0,0.0781967080713782
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::19aeb20f1a385bd4,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,8,q1_revision_surrogate,1.0,1.2685588620370254,0,,2.0,12.0,0.059159086370903835,12.0,0.1523403134803572,0.0,0.07050849882874217,nan,3.0,0.09061134728835896
BMA,BMA_000030,BMA_000030,0,trainval,train,gp::19aeb20f1a385bd4,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.3205147930420935,0,,8.0,12.0,0.0,1.0,5.279685037956924,1.0,0.11190467928090485,nan,1.0,0.09432248521729239
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::19aeb20f1a385bd4,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.255784947075881,0,,8.0,12.0,0.0,1.0,5.781394013465472,1.0,0.15610996676767838,nan,1.0,0.08969892479113437
BMA,BMA_000032,BMA_000032,0,trainval,val,gp::19aeb20f1a385bd4,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,5,3,q1_revision_surrogate,1.0,1.3514571629930288,0,,2.0,14.0,0.7251562700925865,8.0,3.09849672018131,0.0,0.08268154089263734,nan,3.0,0.09653265449950206
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::19aeb20f1a385bd4,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,5,3,q1_revision_surrogate,1.0,1.2726680660853162,0,,2.0,14.0,0.810636433650161,7.0,3.6535864146165657,0.0,0.09964872970027089,nan,3.0,0.09090486186323687
