dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::f5e28ac499e0c611,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,7,3,q1_revision_surrogate,1.0,1.8865030179731548,0,,4.0,8.0,0.4170701795191677,4.0,0.9260842470945313,3.0,0.20236352742583597,nan,1.0,0.13475021556951106
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::f5e28ac499e0c611,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,1,q1_revision_surrogate,1.0,2.0043900249293074,0,,5.0,5.0,1.007045530654582,8.0,4.504045905425573,2.0,0.19623835994655744,nan,2.0,0.1431707160663791
BMA,BMA_000016,BMA_000016,0,trainval,train,gp::f5e28ac499e0c611,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,13,1,q1_revision_surrogate,1.0,2.006064819986932,0,,12.0,13.0,0.0,1.0,7.664995601701285,3.0,0.17229546225370376,nan,1.0,0.14329034428478085
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::f5e28ac499e0c611,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,2,10,q1_revision_surrogate,1.0,2.0907621670048684,0,,8.0,2.0,0.8608385848761878,6.0,3.238194724697273,1.0,0.09282853293595589,nan,1.0,0.14934015478606202
BMA,BMA_000020,BMA_000020,0,trainval,val,gp::f5e28ac499e0c611,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,1,9,q1_revision_surrogate,1.0,2.013812719960697,0,,8.0,13.0,1.6992587457337884,4.0,7.061432461504052,1.0,0.28151026890757297,nan,1.0,0.14384376571147836
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::f5e28ac499e0c611,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,1,9,q1_revision_surrogate,1.0,1.9955176330404356,0,,8.0,13.0,1.2455460649039733,6.0,4.843169185881575,2.0,0.1502206428376094,nan,1.0,0.14253697378860256
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::f5e28ac499e0c611,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,13,8,q1_revision_surrogate,1.0,1.891856711008586,0,,5.0,13.0,0.0,6.0,2.4396033948654225,1.0,0.08773830261038162,nan,1.0,0.135132622214899
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::f5e28ac499e0c611,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,13,8,q1_revision_surrogate,1.0,1.9839729650411755,0,,5.0,13.0,0.0,4.0,1.6910471836080905,3.0,0.07687247615200464,nan,1.0,0.14171235464579826
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::f5e28ac499e0c611,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,13,8,q1_revision_surrogate,1.0,1.8867440990870818,0,,5.0,13.0,0.0,4.0,3.1572924929392885,2.0,0.1446982203953343,nan,1.0,0.13476743564907728
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::f5e28ac499e0c611,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,13,8,q1_revision_surrogate,1.0,1.990216450067237,0,,5.0,14.0,0.0,3.0,1.938001411960769,2.0,0.01958145529744647,nan,1.0,0.1421583178619455
PBS,PBS_000010,PBS_000010,0,trainval,val,gp::f5e28ac499e0c611,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,7,q1_revision_surrogate,1.0,1.1310141619760543,0,,7.0,3.0,0.0,3.0,0.23585058957275512,2.0,0.36453000700471133,nan,1.0,0.12566824021956158
PBS,PBS_000015,PBS_000015,0,trainval,train,gp::f5e28ac499e0c611,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,3,1,q1_revision_surrogate,1.0,1.1486726449802518,0,,2.0,6.0,0.37982126058325494,4.0,0.8266104462661135,1.0,0.09995658756906946,nan,2.0,0.12763029388669464
PBS,PBS_000018,PBS_000018,0,trainval,train,gp::f5e28ac499e0c611,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,1,1,q1_revision_surrogate,1.0,1.1114348190603778,0,,0.0,3.0,0.47026836031309693,3.0,1.2129381719260246,2.0,0.10067640410786524,nan,1.0,0.12349275767337531
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::f5e28ac499e0c611,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,9,2,q1_revision_surrogate,1.0,2.111134722013958,0,,7.0,11.0,0.5090484399703448,6.0,1.0501718360772514,2.0,0.20377037867281148,nan,1.0,0.14074231480093052
PBS,PBS_000027,PBS_000027,0,trainval,train,gp::f5e28ac499e0c611,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,1,8,q1_revision_surrogate,1.0,2.0557440660195425,0,,7.0,14.0,1.156709905858267,4.0,2.946481622634832,3.0,0.20850167223240684,nan,1.0,0.13704960440130284
PBS,PBS_000061,PBS_000061,0,trainval,train,gp::f5e28ac499e0c611,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,11,4,q1_revision_surrogate,1.0,2.199159489944577,0,,7.0,4.0,0.5268965395386641,5.0,1.3642206871240943,3.0,0.14417071514043311,nan,1.0,0.1466106326629718
PBS,PBS_000062,PBS_000062,0,trainval,train,gp::f5e28ac499e0c611,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,12,6,q1_revision_surrogate,1.0,2.1209111460484564,0,,6.0,11.0,0.6143416502585676,5.0,1.1907779109128545,3.0,0.22595400888091952,nan,1.0,0.14139407640323043
PBS,PBS_000063,PBS_000063,0,trainval,train,gp::f5e28ac499e0c611,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,10,3,q1_revision_surrogate,1.0,2.2111362100113183,0,,7.0,7.0,1.0789082065986717,5.0,2.9163521206826757,4.0,0.28074127157388695,nan,1.0,0.14740908066742123
PBS,PBS_000065,PBS_000065,0,trainval,train,gp::f5e28ac499e0c611,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,11,4,q1_revision_surrogate,1.0,2.149688904057257,0,,7.0,7.0,0.6144029869830959,4.0,1.247816969526643,3.0,0.25139350328941756,nan,2.0,0.14331259360381712
PBS,PBS_000066,PBS_000066,0,trainval,train,gp::f5e28ac499e0c611,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,13,7,q1_revision_surrogate,1.0,2.346177878906019,0,,6.0,8.0,0.8769769676940717,4.0,2.686302949945238,3.0,0.12115868846123251,nan,1.0,0.1564118585937346
TBI,TBI_000001,TBI_000001,0,trainval,train,gp::f5e28ac499e0c611,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,6,q1_revision_surrogate,1.0,1.397679360001348,0,,0.0,3.0,1.2058487711586219,3.0,2.440085321265158,3.0,0.47955496414589144,nan,1.0,0.1397679360001348
