dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000001,BMA_000001,0,trainval,train,gp::e46fee69cb3b7146,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,2,7,q1_revision_surrogate,1.0,2.4556642919778824,0,,5.0,13.0,0.35000846593766766,6.0,0.8295223361675153,2.0,0.1024218196801125,nan,1.0,0.17540459228413446
BMA,BMA_000005,BMA_000005,0,trainval,train,gp::e46fee69cb3b7146,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,6,1,q1_revision_surrogate,1.0,2.3614357489859685,0,,5.0,7.0,1.1234711623377651,7.0,3.3797851447366765,2.0,0.2412071331317197,nan,1.0,0.16867398207042633
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::e46fee69cb3b7146,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,7,3,q1_revision_surrogate,1.0,2.4607861880213022,0,,4.0,8.0,0.38467027231786954,4.0,1.21948251600289,3.0,0.07951664278545696,nan,1.0,0.1757704420015216
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::e46fee69cb3b7146,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,1,9,q1_revision_surrogate,1.0,2.3675735449651256,0,,8.0,11.0,0.8546971532958252,3.0,1.3797165977779011,4.0,0.4662176772729975,nan,1.0,0.16911239606893755
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::e46fee69cb3b7146,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,12,8,q1_revision_surrogate,1.0,2.3558311860542744,0,,4.0,12.0,0.6025941678177228,6.0,1.3931313294196677,3.0,0.22194027802424207,nan,1.0,0.1682736561467339
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::e46fee69cb3b7146,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,12,8,q1_revision_surrogate,1.0,2.3218988709850237,0,,4.0,13.0,0.5819916603079343,2.0,0.9281991643129024,5.0,0.5548343606519343,nan,2.0,0.16584991935607313
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::e46fee69cb3b7146,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,1,8,q1_revision_surrogate,1.0,2.402074428042397,0,,7.0,13.0,1.5111828453407847,3.0,4.00963896955102,4.0,0.315373055330234,nan,1.0,0.17157674486017122
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::e46fee69cb3b7146,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,7,5,q1_revision_surrogate,1.0,2.369052011054009,0,,2.0,13.0,0.6736639962960885,5.0,1.258008664963749,3.0,0.319502884982108,nan,1.0,0.16921800078957208
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::e46fee69cb3b7146,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,6,3,q1_revision_surrogate,1.0,2.515084150014445,0,,3.0,9.0,1.319149894398644,4.0,3.1914393075039893,4.0,0.3992628443711866,nan,1.0,0.17964886785817466
BMA,BMA_000037,BMA_000037,0,trainval,train,gp::e46fee69cb3b7146,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,6,3,q1_revision_surrogate,1.0,2.7788021459709853,0,,3.0,12.0,0.7689324440856466,5.0,1.3749985645991587,3.0,0.3942109472359794,nan,1.0,0.1984858675693561
